country,year,tiv
Provisional IRA (UK)*,1950,
Provisional IRA (UK)*,1951,
Provisional IRA (UK)*,1952,
Provisional IRA (UK)*,1953,
Provisional IRA (UK)*,1954,
Provisional IRA (UK)*,1955,
Provisional IRA (UK)*,1956,
Provisional IRA (UK)*,1957,
Provisional IRA (UK)*,1958,
Provisional IRA (UK)*,1959,
Provisional IRA (UK)*,1960,
Provisional IRA (UK)*,1961,
Provisional IRA (UK)*,1962,
Provisional IRA (UK)*,1963,
Provisional IRA (UK)*,1964,
Provisional IRA (UK)*,1965,
Provisional IRA (UK)*,1966,
Provisional IRA (UK)*,1967,
Provisional IRA (UK)*,1968,
Provisional IRA (UK)*,1969,
Provisional IRA (UK)*,1970,
Provisional IRA (UK)*,1971,
Provisional IRA (UK)*,1972,
Provisional IRA (UK)*,1973,
Provisional IRA (UK)*,1974,
Provisional IRA (UK)*,1975,
Provisional IRA (UK)*,1976,
Provisional IRA (UK)*,1977,
Provisional IRA (UK)*,1978,
Provisional IRA (UK)*,1979,
Provisional IRA (UK)*,1980,
Provisional IRA (UK)*,1981,
Provisional IRA (UK)*,1982,
Provisional IRA (UK)*,1983,
Provisional IRA (UK)*,1984,
Provisional IRA (UK)*,1985,
Provisional IRA (UK)*,1986,0
Provisional IRA (UK)*,1987,1
Provisional IRA (UK)*,1988,
Provisional IRA (UK)*,1989,
Provisional IRA (UK)*,1990,
Provisional IRA (UK)*,1991,
Provisional IRA (UK)*,1992,
Provisional IRA (UK)*,1993,
Provisional IRA (UK)*,1994,
Provisional IRA (UK)*,1995,
Provisional IRA (UK)*,1996,
Provisional IRA (UK)*,1997,
Provisional IRA (UK)*,1998,
Provisional IRA (UK)*,1999,
Provisional IRA (UK)*,2000,
Provisional IRA (UK)*,2001,
Provisional IRA (UK)*,2002,
Provisional IRA (UK)*,2003,
Provisional IRA (UK)*,2004,
Provisional IRA (UK)*,2005,
Provisional IRA (UK)*,2006,
Provisional IRA (UK)*,2007,
Provisional IRA (UK)*,2008,
Provisional IRA (UK)*,2009,
Provisional IRA (UK)*,2010,
Provisional IRA (UK)*,2011,
Provisional IRA (UK)*,2012,
Provisional IRA (UK)*,2013,
Provisional IRA (UK)*,2014,
Provisional IRA (UK)*,2015,
Provisional IRA (UK)*,2016,
Provisional IRA (UK)*,2017,
Provisional IRA (UK)*,2018,
Provisional IRA (UK)*,2019,
Provisional IRA (UK)*,2020,
Provisional IRA (UK)*,2021,
Provisional IRA (UK)*,2022,
Provisional IRA (UK)*,2023,
Provisional IRA (UK)*,2024,
Provisional IRA (UK)*,2025,
