country,year,tiv
Qatar,1950,
Qatar,1951,
Qatar,1952,
Qatar,1953,
Qatar,1954,
Qatar,1955,
Qatar,1956,
Qatar,1957,
Qatar,1958,
Qatar,1959,
Qatar,1960,
Qatar,1961,
Qatar,1962,
Qatar,1963,
Qatar,1964,
Qatar,1965,
Qatar,1966,
Qatar,1967,
Qatar,1968,2
Qatar,1969,3
Qatar,1970,6
Qatar,1971,16
Qatar,1972,
Qatar,1973,
Qatar,1974,
Qatar,1975,38
Qatar,1976,26
Qatar,1977,55
Qatar,1978,16
Qatar,1979,14
Qatar,1980,57
Qatar,1981,48
Qatar,1982,127
Qatar,1983,460
Qatar,1984,340
Qatar,1985,2
Qatar,1986,2
Qatar,1987,57
Qatar,1988,91
Qatar,1989,10
Qatar,1990,5
Qatar,1991,17
Qatar,1992,63
Qatar,1993,10
Qatar,1994,9
Qatar,1995,10
Qatar,1996,204
Qatar,1997,238
Qatar,1998,302
Qatar,1999,61
Qatar,2000,3
Qatar,2001,
Qatar,2002,
Qatar,2003,
Qatar,2004,
Qatar,2005,
Qatar,2006,
Qatar,2007,27
Qatar,2008,
Qatar,2009,286
Qatar,2010,30
Qatar,2011,190
Qatar,2012,335
Qatar,2013,82
Qatar,2014,55
Qatar,2015,490
Qatar,2016,596
Qatar,2017,285
Qatar,2018,613
Qatar,2019,2230
Qatar,2020,1082
Qatar,2021,2288
Qatar,2022,3336
Qatar,2023,2006
Qatar,2024,1194
Qatar,2025,1054
