country,year,tiv
RPF (Rwanda)*,1950,
RPF (Rwanda)*,1951,
RPF (Rwanda)*,1952,
RPF (Rwanda)*,1953,
RPF (Rwanda)*,1954,
RPF (Rwanda)*,1955,
RPF (Rwanda)*,1956,
RPF (Rwanda)*,1957,
RPF (Rwanda)*,1958,
RPF (Rwanda)*,1959,
RPF (Rwanda)*,1960,
RPF (Rwanda)*,1961,
RPF (Rwanda)*,1962,
RPF (Rwanda)*,1963,
RPF (Rwanda)*,1964,
RPF (Rwanda)*,1965,
RPF (Rwanda)*,1966,
RPF (Rwanda)*,1967,
RPF (Rwanda)*,1968,
RPF (Rwanda)*,1969,
RPF (Rwanda)*,1970,
RPF (Rwanda)*,1971,
RPF (Rwanda)*,1972,
RPF (Rwanda)*,1973,
RPF (Rwanda)*,1974,
RPF (Rwanda)*,1975,
RPF (Rwanda)*,1976,
RPF (Rwanda)*,1977,
RPF (Rwanda)*,1978,
RPF (Rwanda)*,1979,
RPF (Rwanda)*,1980,
RPF (Rwanda)*,1981,
RPF (Rwanda)*,1982,
RPF (Rwanda)*,1983,
RPF (Rwanda)*,1984,
RPF (Rwanda)*,1985,
RPF (Rwanda)*,1986,
RPF (Rwanda)*,1987,0
RPF (Rwanda)*,1988,
RPF (Rwanda)*,1989,
RPF (Rwanda)*,1990,
RPF (Rwanda)*,1991,
RPF (Rwanda)*,1992,
RPF (Rwanda)*,1993,
RPF (Rwanda)*,1994,
RPF (Rwanda)*,1995,
RPF (Rwanda)*,1996,
RPF (Rwanda)*,1997,
RPF (Rwanda)*,1998,
RPF (Rwanda)*,1999,
RPF (Rwanda)*,2000,
RPF (Rwanda)*,2001,
RPF (Rwanda)*,2002,
RPF (Rwanda)*,2003,
RPF (Rwanda)*,2004,
RPF (Rwanda)*,2005,
RPF (Rwanda)*,2006,
RPF (Rwanda)*,2007,
RPF (Rwanda)*,2008,
RPF (Rwanda)*,2009,
RPF (Rwanda)*,2010,
RPF (Rwanda)*,2011,
RPF (Rwanda)*,2012,
RPF (Rwanda)*,2013,
RPF (Rwanda)*,2014,
RPF (Rwanda)*,2015,
RPF (Rwanda)*,2016,
RPF (Rwanda)*,2017,
RPF (Rwanda)*,2018,
RPF (Rwanda)*,2019,
RPF (Rwanda)*,2020,
RPF (Rwanda)*,2021,
RPF (Rwanda)*,2022,
RPF (Rwanda)*,2023,
RPF (Rwanda)*,2024,
RPF (Rwanda)*,2025,
