country,year,tiv
RSF (Sudan)*,1950,
RSF (Sudan)*,1951,
RSF (Sudan)*,1952,
RSF (Sudan)*,1953,
RSF (Sudan)*,1954,
RSF (Sudan)*,1955,
RSF (Sudan)*,1956,
RSF (Sudan)*,1957,
RSF (Sudan)*,1958,
RSF (Sudan)*,1959,
RSF (Sudan)*,1960,
RSF (Sudan)*,1961,
RSF (Sudan)*,1962,
RSF (Sudan)*,1963,
RSF (Sudan)*,1964,
RSF (Sudan)*,1965,
RSF (Sudan)*,1966,
RSF (Sudan)*,1967,
RSF (Sudan)*,1968,
RSF (Sudan)*,1969,
RSF (Sudan)*,1970,
RSF (Sudan)*,1971,
RSF (Sudan)*,1972,
RSF (Sudan)*,1973,
RSF (Sudan)*,1974,
RSF (Sudan)*,1975,
RSF (Sudan)*,1976,
RSF (Sudan)*,1977,
RSF (Sudan)*,1978,
RSF (Sudan)*,1979,
RSF (Sudan)*,1980,
RSF (Sudan)*,1981,
RSF (Sudan)*,1982,
RSF (Sudan)*,1983,
RSF (Sudan)*,1984,
RSF (Sudan)*,1985,
RSF (Sudan)*,1986,
RSF (Sudan)*,1987,
RSF (Sudan)*,1988,
RSF (Sudan)*,1989,
RSF (Sudan)*,1990,
RSF (Sudan)*,1991,
RSF (Sudan)*,1992,
RSF (Sudan)*,1993,
RSF (Sudan)*,1994,
RSF (Sudan)*,1995,
RSF (Sudan)*,1996,
RSF (Sudan)*,1997,
RSF (Sudan)*,1998,
RSF (Sudan)*,1999,
RSF (Sudan)*,2000,
RSF (Sudan)*,2001,
RSF (Sudan)*,2002,
RSF (Sudan)*,2003,
RSF (Sudan)*,2004,
RSF (Sudan)*,2005,
RSF (Sudan)*,2006,
RSF (Sudan)*,2007,
RSF (Sudan)*,2008,
RSF (Sudan)*,2009,
RSF (Sudan)*,2010,
RSF (Sudan)*,2011,
RSF (Sudan)*,2012,
RSF (Sudan)*,2013,
RSF (Sudan)*,2014,
RSF (Sudan)*,2015,
RSF (Sudan)*,2016,
RSF (Sudan)*,2017,
RSF (Sudan)*,2018,
RSF (Sudan)*,2019,
RSF (Sudan)*,2020,
RSF (Sudan)*,2021,
RSF (Sudan)*,2022,
RSF (Sudan)*,2023,
RSF (Sudan)*,2024,2
RSF (Sudan)*,2025,17
