country,year,tiv
RUF (Sierra Leone)*,1950,
RUF (Sierra Leone)*,1951,
RUF (Sierra Leone)*,1952,
RUF (Sierra Leone)*,1953,
RUF (Sierra Leone)*,1954,
RUF (Sierra Leone)*,1955,
RUF (Sierra Leone)*,1956,
RUF (Sierra Leone)*,1957,
RUF (Sierra Leone)*,1958,
RUF (Sierra Leone)*,1959,
RUF (Sierra Leone)*,1960,
RUF (Sierra Leone)*,1961,
RUF (Sierra Leone)*,1962,
RUF (Sierra Leone)*,1963,
RUF (Sierra Leone)*,1964,
RUF (Sierra Leone)*,1965,
RUF (Sierra Leone)*,1966,
RUF (Sierra Leone)*,1967,
RUF (Sierra Leone)*,1968,
RUF (Sierra Leone)*,1969,
RUF (Sierra Leone)*,1970,
RUF (Sierra Leone)*,1971,
RUF (Sierra Leone)*,1972,
RUF (Sierra Leone)*,1973,
RUF (Sierra Leone)*,1974,
RUF (Sierra Leone)*,1975,
RUF (Sierra Leone)*,1976,
RUF (Sierra Leone)*,1977,
RUF (Sierra Leone)*,1978,
RUF (Sierra Leone)*,1979,
RUF (Sierra Leone)*,1980,
RUF (Sierra Leone)*,1981,
RUF (Sierra Leone)*,1982,
RUF (Sierra Leone)*,1983,
RUF (Sierra Leone)*,1984,
RUF (Sierra Leone)*,1985,
RUF (Sierra Leone)*,1986,
RUF (Sierra Leone)*,1987,
RUF (Sierra Leone)*,1988,
RUF (Sierra Leone)*,1989,
RUF (Sierra Leone)*,1990,
RUF (Sierra Leone)*,1991,
RUF (Sierra Leone)*,1992,
RUF (Sierra Leone)*,1993,
RUF (Sierra Leone)*,1994,
RUF (Sierra Leone)*,1995,
RUF (Sierra Leone)*,1996,
RUF (Sierra Leone)*,1997,
RUF (Sierra Leone)*,1998,
RUF (Sierra Leone)*,1999,0
RUF (Sierra Leone)*,2000,
RUF (Sierra Leone)*,2001,
RUF (Sierra Leone)*,2002,
RUF (Sierra Leone)*,2003,
RUF (Sierra Leone)*,2004,
RUF (Sierra Leone)*,2005,
RUF (Sierra Leone)*,2006,
RUF (Sierra Leone)*,2007,
RUF (Sierra Leone)*,2008,
RUF (Sierra Leone)*,2009,
RUF (Sierra Leone)*,2010,
RUF (Sierra Leone)*,2011,
RUF (Sierra Leone)*,2012,
RUF (Sierra Leone)*,2013,
RUF (Sierra Leone)*,2014,
RUF (Sierra Leone)*,2015,
RUF (Sierra Leone)*,2016,
RUF (Sierra Leone)*,2017,
RUF (Sierra Leone)*,2018,
RUF (Sierra Leone)*,2019,
RUF (Sierra Leone)*,2020,
RUF (Sierra Leone)*,2021,
RUF (Sierra Leone)*,2022,
RUF (Sierra Leone)*,2023,
RUF (Sierra Leone)*,2024,
RUF (Sierra Leone)*,2025,
