country,year,tiv
Romania,1950,7
Romania,1951,76
Romania,1952,427
Romania,1953,873
Romania,1954,626
Romania,1955,464
Romania,1956,450
Romania,1957,189
Romania,1958,109
Romania,1959,100
Romania,1960,116
Romania,1961,30
Romania,1962,179
Romania,1963,230
Romania,1964,421
Romania,1965,520
Romania,1966,401
Romania,1967,442
Romania,1968,591
Romania,1969,399
Romania,1970,561
Romania,1971,471
Romania,1972,497
Romania,1973,538
Romania,1974,673
Romania,1975,637
Romania,1976,294
Romania,1977,348
Romania,1978,329
Romania,1979,612
Romania,1980,516
Romania,1981,470
Romania,1982,444
Romania,1983,284
Romania,1984,243
Romania,1985,330
Romania,1986,455
Romania,1987,214
Romania,1988,237
Romania,1989,296
Romania,1990,599
Romania,1991,65
Romania,1992,187
Romania,1993,14
Romania,1994,29
Romania,1995,2
Romania,1996,39
Romania,1997,61
Romania,1998,170
Romania,1999,142
Romania,2000,21
Romania,2001,24
Romania,2002,21
Romania,2003,17
Romania,2004,283
Romania,2005,431
Romania,2006,64
Romania,2007,101
Romania,2008,80
Romania,2009,59
Romania,2010,107
Romania,2011,80
Romania,2012,21
Romania,2013,20
Romania,2014,0
Romania,2015,22
Romania,2016,177
Romania,2017,88
Romania,2018,36
Romania,2019,13
Romania,2020,168
Romania,2021,105
Romania,2022,186
Romania,2023,364
Romania,2024,320
Romania,2025,421
