country,year,tiv
Russia,1950,
Russia,1951,
Russia,1952,
Russia,1953,
Russia,1954,
Russia,1955,
Russia,1956,
Russia,1957,
Russia,1958,
Russia,1959,
Russia,1960,
Russia,1961,
Russia,1962,
Russia,1963,
Russia,1964,
Russia,1965,
Russia,1966,
Russia,1967,
Russia,1968,
Russia,1969,
Russia,1970,
Russia,1971,
Russia,1972,
Russia,1973,
Russia,1974,
Russia,1975,
Russia,1976,
Russia,1977,
Russia,1978,
Russia,1979,
Russia,1980,
Russia,1981,
Russia,1982,
Russia,1983,
Russia,1984,
Russia,1985,
Russia,1986,
Russia,1987,
Russia,1988,
Russia,1989,
Russia,1990,
Russia,1991,
Russia,1992,40
Russia,1993,
Russia,1994,
Russia,1995,
Russia,1996,
Russia,1997,
Russia,1998,
Russia,1999,368
Russia,2000,1147
Russia,2001,2
Russia,2002,
Russia,2003,
Russia,2004,
Russia,2005,
Russia,2006,
Russia,2007,90
Russia,2008,
Russia,2009,8
Russia,2010,25
Russia,2011,10
Russia,2012,121
Russia,2013,185
Russia,2014,207
Russia,2015,113
Russia,2016,127
Russia,2017,94
Russia,2018,62
Russia,2019,5
Russia,2020,1
Russia,2021,6
Russia,2022,39
Russia,2023,95
Russia,2024,315
Russia,2025,129
