country,year,tiv
Rwanda,1950,
Rwanda,1951,
Rwanda,1952,
Rwanda,1953,
Rwanda,1954,
Rwanda,1955,
Rwanda,1956,
Rwanda,1957,
Rwanda,1958,
Rwanda,1959,
Rwanda,1960,
Rwanda,1961,
Rwanda,1962,11
Rwanda,1963,
Rwanda,1964,0
Rwanda,1965,0
Rwanda,1966,
Rwanda,1967,
Rwanda,1968,
Rwanda,1969,
Rwanda,1970,
Rwanda,1971,0
Rwanda,1972,0
Rwanda,1973,2
Rwanda,1974,1
Rwanda,1975,3
Rwanda,1976,
Rwanda,1977,1
Rwanda,1978,
Rwanda,1979,
Rwanda,1980,
Rwanda,1981,
Rwanda,1982,
Rwanda,1983,4
Rwanda,1984,6
Rwanda,1985,3
Rwanda,1986,2
Rwanda,1987,
Rwanda,1988,2
Rwanda,1989,3
Rwanda,1990,3
Rwanda,1991,5
Rwanda,1992,5
Rwanda,1993,
Rwanda,1994,
Rwanda,1995,
Rwanda,1996,1
Rwanda,1997,3
Rwanda,1998,9
Rwanda,1999,21
Rwanda,2000,15
Rwanda,2001,
Rwanda,2002,
Rwanda,2003,
Rwanda,2004,
Rwanda,2005,
Rwanda,2006,3
Rwanda,2007,20
Rwanda,2008,14
Rwanda,2009,11
Rwanda,2010,
Rwanda,2011,
Rwanda,2012,5
Rwanda,2013,15
Rwanda,2014,15
Rwanda,2015,29
Rwanda,2016,
Rwanda,2017,8
Rwanda,2018,3
Rwanda,2019,1
Rwanda,2020,
Rwanda,2021,65
Rwanda,2022,17
Rwanda,2023,37
Rwanda,2024,
Rwanda,2025,
