country,year,tiv
SPLA (Sudan)*,1950,
SPLA (Sudan)*,1951,
SPLA (Sudan)*,1952,
SPLA (Sudan)*,1953,
SPLA (Sudan)*,1954,
SPLA (Sudan)*,1955,
SPLA (Sudan)*,1956,
SPLA (Sudan)*,1957,
SPLA (Sudan)*,1958,
SPLA (Sudan)*,1959,
SPLA (Sudan)*,1960,
SPLA (Sudan)*,1961,
SPLA (Sudan)*,1962,
SPLA (Sudan)*,1963,
SPLA (Sudan)*,1964,
SPLA (Sudan)*,1965,
SPLA (Sudan)*,1966,
SPLA (Sudan)*,1967,
SPLA (Sudan)*,1968,
SPLA (Sudan)*,1969,
SPLA (Sudan)*,1970,
SPLA (Sudan)*,1971,
SPLA (Sudan)*,1972,
SPLA (Sudan)*,1973,
SPLA (Sudan)*,1974,
SPLA (Sudan)*,1975,
SPLA (Sudan)*,1976,
SPLA (Sudan)*,1977,
SPLA (Sudan)*,1978,
SPLA (Sudan)*,1979,
SPLA (Sudan)*,1980,
SPLA (Sudan)*,1981,
SPLA (Sudan)*,1982,
SPLA (Sudan)*,1983,
SPLA (Sudan)*,1984,
SPLA (Sudan)*,1985,
SPLA (Sudan)*,1986,
SPLA (Sudan)*,1987,1
SPLA (Sudan)*,1988,1
SPLA (Sudan)*,1989,
SPLA (Sudan)*,1990,
SPLA (Sudan)*,1991,
SPLA (Sudan)*,1992,
SPLA (Sudan)*,1993,
SPLA (Sudan)*,1994,
SPLA (Sudan)*,1995,
SPLA (Sudan)*,1996,
SPLA (Sudan)*,1997,
SPLA (Sudan)*,1998,
SPLA (Sudan)*,1999,
SPLA (Sudan)*,2000,
SPLA (Sudan)*,2001,
SPLA (Sudan)*,2002,
SPLA (Sudan)*,2003,
SPLA (Sudan)*,2004,
SPLA (Sudan)*,2005,
SPLA (Sudan)*,2006,
SPLA (Sudan)*,2007,
SPLA (Sudan)*,2008,
SPLA (Sudan)*,2009,
SPLA (Sudan)*,2010,
SPLA (Sudan)*,2011,
SPLA (Sudan)*,2012,
SPLA (Sudan)*,2013,
SPLA (Sudan)*,2014,
SPLA (Sudan)*,2015,
SPLA (Sudan)*,2016,
SPLA (Sudan)*,2017,
SPLA (Sudan)*,2018,
SPLA (Sudan)*,2019,
SPLA (Sudan)*,2020,
SPLA (Sudan)*,2021,
SPLA (Sudan)*,2022,
SPLA (Sudan)*,2023,
SPLA (Sudan)*,2024,
SPLA (Sudan)*,2025,
