country,year,tiv
Saudi Arabia,1950,0
Saudi Arabia,1951,
Saudi Arabia,1952,7
Saudi Arabia,1953,1
Saudi Arabia,1954,0
Saudi Arabia,1955,18
Saudi Arabia,1956,10
Saudi Arabia,1957,108
Saudi Arabia,1958,14
Saudi Arabia,1959,6
Saudi Arabia,1960,6
Saudi Arabia,1961,8
Saudi Arabia,1962,22
Saudi Arabia,1963,
Saudi Arabia,1964,5
Saudi Arabia,1965,48
Saudi Arabia,1966,227
Saudi Arabia,1967,222
Saudi Arabia,1968,448
Saudi Arabia,1969,416
Saudi Arabia,1970,87
Saudi Arabia,1971,10
Saudi Arabia,1972,130
Saudi Arabia,1973,202
Saudi Arabia,1974,547
Saudi Arabia,1975,372
Saudi Arabia,1976,702
Saudi Arabia,1977,1019
Saudi Arabia,1978,1014
Saudi Arabia,1979,767
Saudi Arabia,1980,1085
Saudi Arabia,1981,1816
Saudi Arabia,1982,2223
Saudi Arabia,1983,1819
Saudi Arabia,1984,824
Saudi Arabia,1985,1314
Saudi Arabia,1986,2842
Saudi Arabia,1987,2010
Saudi Arabia,1988,784
Saudi Arabia,1989,1382
Saudi Arabia,1990,2041
Saudi Arabia,1991,1039
Saudi Arabia,1992,1150
Saudi Arabia,1993,2353
Saudi Arabia,1994,981
Saudi Arabia,1995,985
Saudi Arabia,1996,1727
Saudi Arabia,1997,2791
Saudi Arabia,1998,2889
Saudi Arabia,1999,1579
Saudi Arabia,2000,104
Saudi Arabia,2001,59
Saudi Arabia,2002,559
Saudi Arabia,2003,158
Saudi Arabia,2004,1157
Saudi Arabia,2005,166
Saudi Arabia,2006,207
Saudi Arabia,2007,229
Saudi Arabia,2008,389
Saudi Arabia,2009,828
Saudi Arabia,2010,1109
Saudi Arabia,2011,1176
Saudi Arabia,2012,835
Saudi Arabia,2013,1686
Saudi Arabia,2014,2717
Saudi Arabia,2015,3474
Saudi Arabia,2016,2909
Saudi Arabia,2017,3852
Saudi Arabia,2018,2944
Saudi Arabia,2019,3033
Saudi Arabia,2020,2241
Saudi Arabia,2021,1747
Saudi Arabia,2022,3053
Saudi Arabia,2023,1326
Saudi Arabia,2024,1238
Saudi Arabia,2025,3042
