country,year,tiv
Serbia,1950,
Serbia,1951,
Serbia,1952,
Serbia,1953,
Serbia,1954,
Serbia,1955,
Serbia,1956,
Serbia,1957,
Serbia,1958,
Serbia,1959,
Serbia,1960,
Serbia,1961,
Serbia,1962,
Serbia,1963,
Serbia,1964,
Serbia,1965,
Serbia,1966,
Serbia,1967,
Serbia,1968,
Serbia,1969,
Serbia,1970,
Serbia,1971,
Serbia,1972,
Serbia,1973,
Serbia,1974,
Serbia,1975,
Serbia,1976,
Serbia,1977,
Serbia,1978,
Serbia,1979,
Serbia,1980,
Serbia,1981,
Serbia,1982,
Serbia,1983,
Serbia,1984,
Serbia,1985,
Serbia,1986,
Serbia,1987,
Serbia,1988,
Serbia,1989,
Serbia,1990,
Serbia,1991,
Serbia,1992,4
Serbia,1993,2
Serbia,1994,2
Serbia,1995,8
Serbia,1996,1
Serbia,1997,14
Serbia,1998,7
Serbia,1999,1
Serbia,2000,1
Serbia,2001,27
Serbia,2002,
Serbia,2003,
Serbia,2004,
Serbia,2005,
Serbia,2006,
Serbia,2007,
Serbia,2008,
Serbia,2009,
Serbia,2010,16
Serbia,2011,
Serbia,2012,0
Serbia,2013,
Serbia,2014,
Serbia,2015,
Serbia,2016,23
Serbia,2017,65
Serbia,2018,4
Serbia,2019,84
Serbia,2020,147
Serbia,2021,117
Serbia,2022,164
Serbia,2023,370
Serbia,2024,155
Serbia,2025,146
