country,year,tiv
Seychelles,1950,
Seychelles,1951,
Seychelles,1952,
Seychelles,1953,
Seychelles,1954,
Seychelles,1955,
Seychelles,1956,
Seychelles,1957,
Seychelles,1958,
Seychelles,1959,
Seychelles,1960,
Seychelles,1961,
Seychelles,1962,
Seychelles,1963,
Seychelles,1964,
Seychelles,1965,
Seychelles,1966,
Seychelles,1967,
Seychelles,1968,
Seychelles,1969,
Seychelles,1970,
Seychelles,1971,
Seychelles,1972,
Seychelles,1973,
Seychelles,1974,
Seychelles,1975,
Seychelles,1976,
Seychelles,1977,1
Seychelles,1978,
Seychelles,1979,19
Seychelles,1980,6
Seychelles,1981,
Seychelles,1982,3
Seychelles,1983,15
Seychelles,1984,
Seychelles,1985,
Seychelles,1986,10
Seychelles,1987,
Seychelles,1988,1
Seychelles,1989,
Seychelles,1990,0
Seychelles,1991,
Seychelles,1992,
Seychelles,1993,
Seychelles,1994,
Seychelles,1995,
Seychelles,1996,
Seychelles,1997,
Seychelles,1998,
Seychelles,1999,
Seychelles,2000,
Seychelles,2001,
Seychelles,2002,
Seychelles,2003,
Seychelles,2004,
Seychelles,2005,15
Seychelles,2006,
Seychelles,2007,
Seychelles,2008,
Seychelles,2009,
Seychelles,2010,
Seychelles,2011,8
Seychelles,2012,
Seychelles,2013,10
Seychelles,2014,16
Seychelles,2015,
Seychelles,2016,8
Seychelles,2017,
Seychelles,2018,10
Seychelles,2019,
Seychelles,2020,
Seychelles,2021,19
Seychelles,2022,
Seychelles,2023,
Seychelles,2024,
Seychelles,2025,
