country,year,tiv
Sierra Leone,1950,
Sierra Leone,1951,
Sierra Leone,1952,
Sierra Leone,1953,
Sierra Leone,1954,
Sierra Leone,1955,
Sierra Leone,1956,
Sierra Leone,1957,
Sierra Leone,1958,
Sierra Leone,1959,
Sierra Leone,1960,
Sierra Leone,1961,
Sierra Leone,1962,
Sierra Leone,1963,
Sierra Leone,1964,
Sierra Leone,1965,
Sierra Leone,1966,
Sierra Leone,1967,
Sierra Leone,1968,
Sierra Leone,1969,
Sierra Leone,1970,
Sierra Leone,1971,
Sierra Leone,1972,
Sierra Leone,1973,28
Sierra Leone,1974,
Sierra Leone,1975,
Sierra Leone,1976,1
Sierra Leone,1977,
Sierra Leone,1978,2
Sierra Leone,1979,
Sierra Leone,1980,42
Sierra Leone,1981,
Sierra Leone,1982,
Sierra Leone,1983,1
Sierra Leone,1984,3
Sierra Leone,1985,
Sierra Leone,1986,
Sierra Leone,1987,18
Sierra Leone,1988,
Sierra Leone,1989,
Sierra Leone,1990,
Sierra Leone,1991,
Sierra Leone,1992,1
Sierra Leone,1993,
Sierra Leone,1994,7
Sierra Leone,1995,14
Sierra Leone,1996,
Sierra Leone,1997,16
Sierra Leone,1998,
Sierra Leone,1999,13
Sierra Leone,2000,
Sierra Leone,2001,
Sierra Leone,2002,
Sierra Leone,2003,
Sierra Leone,2004,
Sierra Leone,2005,
Sierra Leone,2006,9
Sierra Leone,2007,
Sierra Leone,2008,
Sierra Leone,2009,
Sierra Leone,2010,
Sierra Leone,2011,2
Sierra Leone,2012,0
Sierra Leone,2013,1
Sierra Leone,2014,
Sierra Leone,2015,1
Sierra Leone,2016,2
Sierra Leone,2017,
Sierra Leone,2018,
Sierra Leone,2019,
Sierra Leone,2020,
Sierra Leone,2021,
Sierra Leone,2022,
Sierra Leone,2023,
Sierra Leone,2024,
Sierra Leone,2025,
