country,year,tiv
Slovakia,1950,
Slovakia,1951,
Slovakia,1952,
Slovakia,1953,
Slovakia,1954,
Slovakia,1955,
Slovakia,1956,
Slovakia,1957,
Slovakia,1958,
Slovakia,1959,
Slovakia,1960,
Slovakia,1961,
Slovakia,1962,
Slovakia,1963,
Slovakia,1964,
Slovakia,1965,
Slovakia,1966,
Slovakia,1967,
Slovakia,1968,
Slovakia,1969,
Slovakia,1970,
Slovakia,1971,
Slovakia,1972,
Slovakia,1973,
Slovakia,1974,
Slovakia,1975,
Slovakia,1976,
Slovakia,1977,
Slovakia,1978,
Slovakia,1979,
Slovakia,1980,
Slovakia,1981,
Slovakia,1982,
Slovakia,1983,
Slovakia,1984,
Slovakia,1985,
Slovakia,1986,
Slovakia,1987,
Slovakia,1988,
Slovakia,1989,
Slovakia,1990,
Slovakia,1991,
Slovakia,1992,
Slovakia,1993,146
Slovakia,1994,29
Slovakia,1995,208
Slovakia,1996,29
Slovakia,1997,
Slovakia,1998,
Slovakia,1999,
Slovakia,2000,1
Slovakia,2001,
Slovakia,2002,29
Slovakia,2003,
Slovakia,2004,1
Slovakia,2005,4
Slovakia,2006,
Slovakia,2007,0
Slovakia,2008,0
Slovakia,2009,10
Slovakia,2010,9
Slovakia,2011,
Slovakia,2012,2
Slovakia,2013,5
Slovakia,2014,
Slovakia,2015,
Slovakia,2016,
Slovakia,2017,47
Slovakia,2018,34
Slovakia,2019,15
Slovakia,2020,25
Slovakia,2021,1
Slovakia,2022,3
Slovakia,2023,30
Slovakia,2024,181
Slovakia,2025,445
