country,year,tiv
Somalia,1950,
Somalia,1951,
Somalia,1952,
Somalia,1953,
Somalia,1954,
Somalia,1955,
Somalia,1956,
Somalia,1957,
Somalia,1958,
Somalia,1959,
Somalia,1960,11
Somalia,1961,2
Somalia,1962,0
Somalia,1963,11
Somalia,1964,
Somalia,1965,31
Somalia,1966,53
Somalia,1967,72
Somalia,1968,4
Somalia,1969,1
Somalia,1970,
Somalia,1971,
Somalia,1972,24
Somalia,1973,165
Somalia,1974,283
Somalia,1975,128
Somalia,1976,185
Somalia,1977,29
Somalia,1978,57
Somalia,1979,90
Somalia,1980,101
Somalia,1981,97
Somalia,1982,61
Somalia,1983,23
Somalia,1984,15
Somalia,1985,42
Somalia,1986,15
Somalia,1987,
Somalia,1988,
Somalia,1989,
Somalia,1990,16
Somalia,1991,
Somalia,1992,
Somalia,1993,
Somalia,1994,
Somalia,1995,
Somalia,1996,
Somalia,1997,
Somalia,1998,
Somalia,1999,1
Somalia,2000,
Somalia,2001,
Somalia,2002,
Somalia,2003,
Somalia,2004,
Somalia,2005,
Somalia,2006,
Somalia,2007,
Somalia,2008,
Somalia,2009,
Somalia,2010,
Somalia,2011,
Somalia,2012,
Somalia,2013,3
Somalia,2014,
Somalia,2015,1
Somalia,2016,2
Somalia,2017,2
Somalia,2018,
Somalia,2019,8
Somalia,2020,2
Somalia,2021,2
Somalia,2022,
Somalia,2023,4
Somalia,2024,4
Somalia,2025,2
