country,year,tiv
South Africa,1950,37
South Africa,1951,73
South Africa,1952,181
South Africa,1953,51
South Africa,1954,47
South Africa,1955,105
South Africa,1956,253
South Africa,1957,207
South Africa,1958,169
South Africa,1959,68
South Africa,1960,13
South Africa,1961,
South Africa,1962,232
South Africa,1963,520
South Africa,1964,302
South Africa,1965,386
South Africa,1966,496
South Africa,1967,299
South Africa,1968,217
South Africa,1969,211
South Africa,1970,511
South Africa,1971,309
South Africa,1972,291
South Africa,1973,369
South Africa,1974,177
South Africa,1975,235
South Africa,1976,419
South Africa,1977,500
South Africa,1978,389
South Africa,1979,125
South Africa,1980,192
South Africa,1981,122
South Africa,1982,44
South Africa,1983,192
South Africa,1984,100
South Africa,1985,25
South Africa,1986,191
South Africa,1987,20
South Africa,1988,17
South Africa,1989,11
South Africa,1990,10
South Africa,1991,26
South Africa,1992,361
South Africa,1993,238
South Africa,1994,239
South Africa,1995,38
South Africa,1996,38
South Africa,1997,11
South Africa,1998,
South Africa,1999,21
South Africa,2000,6
South Africa,2001,18
South Africa,2002,
South Africa,2003,
South Africa,2004,
South Africa,2005,262
South Africa,2006,741
South Africa,2007,910
South Africa,2008,493
South Africa,2009,134
South Africa,2010,178
South Africa,2011,208
South Africa,2012,127
South Africa,2013,1
South Africa,2014,50
South Africa,2015,2
South Africa,2016,
South Africa,2017,
South Africa,2018,
South Africa,2019,
South Africa,2020,
South Africa,2021,
South Africa,2022,30
South Africa,2023,30
South Africa,2024,
South Africa,2025,30
