country,year,tiv
South Korea,1950,170
South Korea,1951,177
South Korea,1952,239
South Korea,1953,229
South Korea,1954,232
South Korea,1955,277
South Korea,1956,386
South Korea,1957,217
South Korea,1958,192
South Korea,1959,180
South Korea,1960,122
South Korea,1961,113
South Korea,1962,65
South Korea,1963,214
South Korea,1964,332
South Korea,1965,632
South Korea,1966,578
South Korea,1967,137
South Korea,1968,359
South Korea,1969,586
South Korea,1970,100
South Korea,1971,250
South Korea,1972,413
South Korea,1973,269
South Korea,1974,458
South Korea,1975,661
South Korea,1976,556
South Korea,1977,1199
South Korea,1978,399
South Korea,1979,1323
South Korea,1980,877
South Korea,1981,872
South Korea,1982,673
South Korea,1983,496
South Korea,1984,524
South Korea,1985,760
South Korea,1986,857
South Korea,1987,773
South Korea,1988,1237
South Korea,1989,1835
South Korea,1990,1201
South Korea,1991,908
South Korea,1992,782
South Korea,1993,1011
South Korea,1994,1005
South Korea,1995,1952
South Korea,1996,1971
South Korea,1997,1219
South Korea,1998,1417
South Korea,1999,1638
South Korea,2000,1393
South Korea,2001,768
South Korea,2002,519
South Korea,2003,767
South Korea,2004,1061
South Korea,2005,801
South Korea,2006,1658
South Korea,2007,1730
South Korea,2008,1691
South Korea,2009,798
South Korea,2010,1299
South Korea,2011,1568
South Korea,2012,1077
South Korea,2013,189
South Korea,2014,742
South Korea,2015,268
South Korea,2016,1038
South Korea,2017,962
South Korea,2018,1030
South Korea,2019,1605
South Korea,2020,1273
South Korea,2021,812
South Korea,2022,423
South Korea,2023,218
South Korea,2024,1031
South Korea,2025,222
