country,year,tiv
Southern rebels (Yemen)*,1950,
Southern rebels (Yemen)*,1951,
Southern rebels (Yemen)*,1952,
Southern rebels (Yemen)*,1953,
Southern rebels (Yemen)*,1954,
Southern rebels (Yemen)*,1955,
Southern rebels (Yemen)*,1956,
Southern rebels (Yemen)*,1957,
Southern rebels (Yemen)*,1958,
Southern rebels (Yemen)*,1959,
Southern rebels (Yemen)*,1960,
Southern rebels (Yemen)*,1961,
Southern rebels (Yemen)*,1962,
Southern rebels (Yemen)*,1963,
Southern rebels (Yemen)*,1964,
Southern rebels (Yemen)*,1965,
Southern rebels (Yemen)*,1966,
Southern rebels (Yemen)*,1967,
Southern rebels (Yemen)*,1968,
Southern rebels (Yemen)*,1969,
Southern rebels (Yemen)*,1970,
Southern rebels (Yemen)*,1971,
Southern rebels (Yemen)*,1972,
Southern rebels (Yemen)*,1973,
Southern rebels (Yemen)*,1974,
Southern rebels (Yemen)*,1975,
Southern rebels (Yemen)*,1976,
Southern rebels (Yemen)*,1977,
Southern rebels (Yemen)*,1978,
Southern rebels (Yemen)*,1979,
Southern rebels (Yemen)*,1980,
Southern rebels (Yemen)*,1981,
Southern rebels (Yemen)*,1982,
Southern rebels (Yemen)*,1983,
Southern rebels (Yemen)*,1984,
Southern rebels (Yemen)*,1985,
Southern rebels (Yemen)*,1986,
Southern rebels (Yemen)*,1987,
Southern rebels (Yemen)*,1988,
Southern rebels (Yemen)*,1989,
Southern rebels (Yemen)*,1990,
Southern rebels (Yemen)*,1991,
Southern rebels (Yemen)*,1992,
Southern rebels (Yemen)*,1993,
Southern rebels (Yemen)*,1994,80
Southern rebels (Yemen)*,1995,
Southern rebels (Yemen)*,1996,
Southern rebels (Yemen)*,1997,
Southern rebels (Yemen)*,1998,
Southern rebels (Yemen)*,1999,
Southern rebels (Yemen)*,2000,
Southern rebels (Yemen)*,2001,
Southern rebels (Yemen)*,2002,
Southern rebels (Yemen)*,2003,
Southern rebels (Yemen)*,2004,
Southern rebels (Yemen)*,2005,
Southern rebels (Yemen)*,2006,
Southern rebels (Yemen)*,2007,
Southern rebels (Yemen)*,2008,
Southern rebels (Yemen)*,2009,
Southern rebels (Yemen)*,2010,
Southern rebels (Yemen)*,2011,
Southern rebels (Yemen)*,2012,
Southern rebels (Yemen)*,2013,
Southern rebels (Yemen)*,2014,
Southern rebels (Yemen)*,2015,
Southern rebels (Yemen)*,2016,
Southern rebels (Yemen)*,2017,
Southern rebels (Yemen)*,2018,
Southern rebels (Yemen)*,2019,
Southern rebels (Yemen)*,2020,
Southern rebels (Yemen)*,2021,
Southern rebels (Yemen)*,2022,
Southern rebels (Yemen)*,2023,
Southern rebels (Yemen)*,2024,
Southern rebels (Yemen)*,2025,
