country,year,tiv
Sri Lanka,1950,0
Sri Lanka,1951,
Sri Lanka,1952,0
Sri Lanka,1953,17
Sri Lanka,1954,
Sri Lanka,1955,8
Sri Lanka,1956,1
Sri Lanka,1957,2
Sri Lanka,1958,20
Sri Lanka,1959,31
Sri Lanka,1960,4
Sri Lanka,1961,
Sri Lanka,1962,
Sri Lanka,1963,
Sri Lanka,1964,0
Sri Lanka,1965,
Sri Lanka,1966,
Sri Lanka,1967,
Sri Lanka,1968,
Sri Lanka,1969,2
Sri Lanka,1970,
Sri Lanka,1971,33
Sri Lanka,1972,47
Sri Lanka,1973,
Sri Lanka,1974,
Sri Lanka,1975,1
Sri Lanka,1976,0
Sri Lanka,1977,17
Sri Lanka,1978,7
Sri Lanka,1979,
Sri Lanka,1980,18
Sri Lanka,1981,
Sri Lanka,1982,
Sri Lanka,1983,
Sri Lanka,1984,48
Sri Lanka,1985,42
Sri Lanka,1986,28
Sri Lanka,1987,111
Sri Lanka,1988,19
Sri Lanka,1989,6
Sri Lanka,1990,19
Sri Lanka,1991,168
Sri Lanka,1992,22
Sri Lanka,1993,37
Sri Lanka,1994,77
Sri Lanka,1995,63
Sri Lanka,1996,196
Sri Lanka,1997,59
Sri Lanka,1998,83
Sri Lanka,1999,62
Sri Lanka,2000,294
Sri Lanka,2001,154
Sri Lanka,2002,43
Sri Lanka,2003,34
Sri Lanka,2004,38
Sri Lanka,2005,63
Sri Lanka,2006,96
Sri Lanka,2007,91
Sri Lanka,2008,79
Sri Lanka,2009,21
Sri Lanka,2010,5
Sri Lanka,2011,21
Sri Lanka,2012,
Sri Lanka,2013,22
Sri Lanka,2014,5
Sri Lanka,2015,
Sri Lanka,2016,
Sri Lanka,2017,45
Sri Lanka,2018,100
Sri Lanka,2019,59
Sri Lanka,2020,
Sri Lanka,2021,54
Sri Lanka,2022,3
Sri Lanka,2023,5
Sri Lanka,2024,9
Sri Lanka,2025,11
