country,year,tiv
Sudan,1950,
Sudan,1951,
Sudan,1952,
Sudan,1953,
Sudan,1954,
Sudan,1955,
Sudan,1956,
Sudan,1957,2
Sudan,1958,5
Sudan,1959,4
Sudan,1960,6
Sudan,1961,17
Sudan,1962,34
Sudan,1963,17
Sudan,1964,36
Sudan,1965,5
Sudan,1966,10
Sudan,1967,6
Sudan,1968,13
Sudan,1969,177
Sudan,1970,598
Sudan,1971,87
Sudan,1972,69
Sudan,1973,23
Sudan,1974,3
Sudan,1975,5
Sudan,1976,
Sudan,1977,29
Sudan,1978,208
Sudan,1979,46
Sudan,1980,3
Sudan,1981,203
Sudan,1982,90
Sudan,1983,25
Sudan,1984,106
Sudan,1985,66
Sudan,1986,10
Sudan,1987,122
Sudan,1988,77
Sudan,1989,16
Sudan,1990,4
Sudan,1991,46
Sudan,1992,6
Sudan,1993,
Sudan,1994,
Sudan,1995,3
Sudan,1996,27
Sudan,1997,63
Sudan,1998,
Sudan,1999,36
Sudan,2000,
Sudan,2001,106
Sudan,2002,50
Sudan,2003,205
Sudan,2004,294
Sudan,2005,113
Sudan,2006,112
Sudan,2007,58
Sudan,2008,120
Sudan,2009,100
Sudan,2010,196
Sudan,2011,191
Sudan,2012,119
Sudan,2013,155
Sudan,2014,70
Sudan,2015,136
Sudan,2016,110
Sudan,2017,66
Sudan,2018,35
Sudan,2019,20
Sudan,2020,
Sudan,2021,
Sudan,2022,3
Sudan,2023,6
Sudan,2024,50
Sudan,2025,57
