country,year,tiv
Suriname,1950,
Suriname,1951,
Suriname,1952,
Suriname,1953,
Suriname,1954,
Suriname,1955,
Suriname,1956,
Suriname,1957,
Suriname,1958,
Suriname,1959,
Suriname,1960,
Suriname,1961,
Suriname,1962,
Suriname,1963,
Suriname,1964,
Suriname,1965,
Suriname,1966,
Suriname,1967,
Suriname,1968,
Suriname,1969,
Suriname,1970,
Suriname,1971,
Suriname,1972,
Suriname,1973,
Suriname,1974,
Suriname,1975,0
Suriname,1976,5
Suriname,1977,10
Suriname,1978,
Suriname,1979,
Suriname,1980,
Suriname,1981,0
Suriname,1982,2
Suriname,1983,
Suriname,1984,8
Suriname,1985,
Suriname,1986,5
Suriname,1987,2
Suriname,1988,
Suriname,1989,
Suriname,1990,
Suriname,1991,
Suriname,1992,
Suriname,1993,
Suriname,1994,
Suriname,1995,
Suriname,1996,
Suriname,1997,
Suriname,1998,
Suriname,1999,23
Suriname,2000,2
Suriname,2001,
Suriname,2002,
Suriname,2003,
Suriname,2004,
Suriname,2005,
Suriname,2006,
Suriname,2007,
Suriname,2008,
Suriname,2009,
Suriname,2010,
Suriname,2011,
Suriname,2012,0
Suriname,2013,7
Suriname,2014,
Suriname,2015,3
Suriname,2016,
Suriname,2017,
Suriname,2018,
Suriname,2019,
Suriname,2020,
Suriname,2021,
Suriname,2022,
Suriname,2023,
Suriname,2024,12
Suriname,2025,
