country,year,tiv
Switzerland,1950,147
Switzerland,1951,144
Switzerland,1952,303
Switzerland,1953,157
Switzerland,1954,130
Switzerland,1955,218
Switzerland,1956,301
Switzerland,1957,211
Switzerland,1958,229
Switzerland,1959,289
Switzerland,1960,218
Switzerland,1961,37
Switzerland,1962,4
Switzerland,1963,52
Switzerland,1964,263
Switzerland,1965,228
Switzerland,1966,373
Switzerland,1967,177
Switzerland,1968,199
Switzerland,1969,166
Switzerland,1970,142
Switzerland,1971,153
Switzerland,1972,192
Switzerland,1973,123
Switzerland,1974,64
Switzerland,1975,136
Switzerland,1976,142
Switzerland,1977,4
Switzerland,1978,217
Switzerland,1979,226
Switzerland,1980,272
Switzerland,1981,289
Switzerland,1982,175
Switzerland,1983,442
Switzerland,1984,404
Switzerland,1985,341
Switzerland,1986,108
Switzerland,1987,151
Switzerland,1988,179
Switzerland,1989,318
Switzerland,1990,433
Switzerland,1991,469
Switzerland,1992,381
Switzerland,1993,98
Switzerland,1994,114
Switzerland,1995,93
Switzerland,1996,187
Switzerland,1997,375
Switzerland,1998,428
Switzerland,1999,499
Switzerland,2000,15
Switzerland,2001,60
Switzerland,2002,58
Switzerland,2003,117
Switzerland,2004,203
Switzerland,2005,168
Switzerland,2006,83
Switzerland,2007,108
Switzerland,2008,15
Switzerland,2009,36
Switzerland,2010,38
Switzerland,2011,24
Switzerland,2012,2
Switzerland,2013,
Switzerland,2014,5
Switzerland,2015,10
Switzerland,2016,70
Switzerland,2017,
Switzerland,2018,
Switzerland,2019,
Switzerland,2020,
Switzerland,2021,
Switzerland,2022,15
Switzerland,2023,33
Switzerland,2024,
Switzerland,2025,
