country,year,tiv
Syria,1950,109
Syria,1951,1
Syria,1952,20
Syria,1953,18
Syria,1954,9
Syria,1955,108
Syria,1956,148
Syria,1957,473
Syria,1958,122
Syria,1959,37
Syria,1960,38
Syria,1961,27
Syria,1962,35
Syria,1963,89
Syria,1964,65
Syria,1965,100
Syria,1966,525
Syria,1967,905
Syria,1968,829
Syria,1969,875
Syria,1970,870
Syria,1971,735
Syria,1972,1517
Syria,1973,3282
Syria,1974,3410
Syria,1975,1411
Syria,1976,527
Syria,1977,931
Syria,1978,871
Syria,1979,2045
Syria,1980,1867
Syria,1981,1349
Syria,1982,1989
Syria,1983,2241
Syria,1984,1817
Syria,1985,1581
Syria,1986,1267
Syria,1987,1451
Syria,1988,1310
Syria,1989,663
Syria,1990,739
Syria,1991,315
Syria,1992,277
Syria,1993,166
Syria,1994,14
Syria,1995,25
Syria,1996,25
Syria,1997,25
Syria,1998,45
Syria,1999,48
Syria,2000,49
Syria,2001,23
Syria,2002,40
Syria,2003,64
Syria,2004,20
Syria,2005,30
Syria,2006,95
Syria,2007,15
Syria,2008,326
Syria,2009,253
Syria,2010,420
Syria,2011,485
Syria,2012,532
Syria,2013,498
Syria,2014,7
Syria,2015,16
Syria,2016,18
Syria,2017,52
Syria,2018,199
Syria,2019,104
Syria,2020,80
Syria,2021,7
Syria,2022,
Syria,2023,
Syria,2024,
Syria,2025,2
