country,year,tiv
Taiwan,1950,
Taiwan,1951,98
Taiwan,1952,304
Taiwan,1953,383
Taiwan,1954,308
Taiwan,1955,622
Taiwan,1956,252
Taiwan,1957,380
Taiwan,1958,718
Taiwan,1959,921
Taiwan,1960,472
Taiwan,1961,108
Taiwan,1962,146
Taiwan,1963,320
Taiwan,1964,347
Taiwan,1965,494
Taiwan,1966,326
Taiwan,1967,477
Taiwan,1968,293
Taiwan,1969,588
Taiwan,1970,588
Taiwan,1971,352
Taiwan,1972,245
Taiwan,1973,329
Taiwan,1974,372
Taiwan,1975,344
Taiwan,1976,484
Taiwan,1977,792
Taiwan,1978,779
Taiwan,1979,522
Taiwan,1980,513
Taiwan,1981,778
Taiwan,1982,788
Taiwan,1983,723
Taiwan,1984,433
Taiwan,1985,647
Taiwan,1986,960
Taiwan,1987,585
Taiwan,1988,646
Taiwan,1989,352
Taiwan,1990,465
Taiwan,1991,651
Taiwan,1992,475
Taiwan,1993,1157
Taiwan,1994,858
Taiwan,1995,1318
Taiwan,1996,1405
Taiwan,1997,4746
Taiwan,1998,3967
Taiwan,1999,1736
Taiwan,2000,592
Taiwan,2001,342
Taiwan,2002,291
Taiwan,2003,112
Taiwan,2004,316
Taiwan,2005,695
Taiwan,2006,503
Taiwan,2007,13
Taiwan,2008,11
Taiwan,2009,36
Taiwan,2010,71
Taiwan,2011,173
Taiwan,2012,411
Taiwan,2013,614
Taiwan,2014,1082
Taiwan,2015,535
Taiwan,2016,93
Taiwan,2017,487
Taiwan,2018,92
Taiwan,2019,55
Taiwan,2020,111
Taiwan,2021,158
Taiwan,2022,162
Taiwan,2023,205
Taiwan,2024,367
Taiwan,2025,398
