country,year,tiv
Tanzania,1950,
Tanzania,1951,
Tanzania,1952,
Tanzania,1953,
Tanzania,1954,
Tanzania,1955,
Tanzania,1956,
Tanzania,1957,
Tanzania,1958,
Tanzania,1959,
Tanzania,1960,
Tanzania,1961,
Tanzania,1962,
Tanzania,1963,
Tanzania,1964,4
Tanzania,1965,4
Tanzania,1966,22
Tanzania,1967,1
Tanzania,1968,
Tanzania,1969,
Tanzania,1970,11
Tanzania,1971,60
Tanzania,1972,51
Tanzania,1973,121
Tanzania,1974,185
Tanzania,1975,48
Tanzania,1976,
Tanzania,1977,47
Tanzania,1978,67
Tanzania,1979,260
Tanzania,1980,53
Tanzania,1981,121
Tanzania,1982,9
Tanzania,1983,
Tanzania,1984,
Tanzania,1985,
Tanzania,1986,1
Tanzania,1987,
Tanzania,1988,
Tanzania,1989,5
Tanzania,1990,
Tanzania,1991,
Tanzania,1992,18
Tanzania,1993,
Tanzania,1994,5
Tanzania,1995,
Tanzania,1996,4
Tanzania,1997,
Tanzania,1998,
Tanzania,1999,
Tanzania,2000,2
Tanzania,2001,
Tanzania,2002,1
Tanzania,2003,51
Tanzania,2004,
Tanzania,2005,10
Tanzania,2006,12
Tanzania,2007,1
Tanzania,2008,
Tanzania,2009,29
Tanzania,2010,
Tanzania,2011,78
Tanzania,2012,115
Tanzania,2013,130
Tanzania,2014,14
Tanzania,2015,20
Tanzania,2016,20
Tanzania,2017,2
Tanzania,2018,17
Tanzania,2019,
Tanzania,2020,9
Tanzania,2021,53
Tanzania,2022,
Tanzania,2023,
Tanzania,2024,
Tanzania,2025,4
