country,year,tiv
Thailand,1950,62
Thailand,1951,91
Thailand,1952,45
Thailand,1953,25
Thailand,1954,70
Thailand,1955,49
Thailand,1956,10
Thailand,1957,88
Thailand,1958,15
Thailand,1959,10
Thailand,1960,28
Thailand,1961,52
Thailand,1962,113
Thailand,1963,111
Thailand,1964,84
Thailand,1965,87
Thailand,1966,58
Thailand,1967,140
Thailand,1968,88
Thailand,1969,121
Thailand,1970,258
Thailand,1971,243
Thailand,1972,147
Thailand,1973,321
Thailand,1974,114
Thailand,1975,90
Thailand,1976,154
Thailand,1977,111
Thailand,1978,192
Thailand,1979,326
Thailand,1980,318
Thailand,1981,350
Thailand,1982,81
Thailand,1983,247
Thailand,1984,360
Thailand,1985,185
Thailand,1986,162
Thailand,1987,539
Thailand,1988,623
Thailand,1989,284
Thailand,1990,235
Thailand,1991,575
Thailand,1992,429
Thailand,1993,182
Thailand,1994,608
Thailand,1995,530
Thailand,1996,741
Thailand,1997,910
Thailand,1998,62
Thailand,1999,160
Thailand,2000,77
Thailand,2001,109
Thailand,2002,152
Thailand,2003,131
Thailand,2004,138
Thailand,2005,115
Thailand,2006,99
Thailand,2007,8
Thailand,2008,16
Thailand,2009,63
Thailand,2010,60
Thailand,2011,252
Thailand,2012,278
Thailand,2013,383
Thailand,2014,107
Thailand,2015,184
Thailand,2016,346
Thailand,2017,317
Thailand,2018,636
Thailand,2019,293
Thailand,2020,141
Thailand,2021,151
Thailand,2022,271
Thailand,2023,290
Thailand,2024,73
Thailand,2025,33
