country,year,tiv
Timor-Leste,1950,
Timor-Leste,1951,
Timor-Leste,1952,
Timor-Leste,1953,
Timor-Leste,1954,
Timor-Leste,1955,
Timor-Leste,1956,
Timor-Leste,1957,
Timor-Leste,1958,
Timor-Leste,1959,
Timor-Leste,1960,
Timor-Leste,1961,
Timor-Leste,1962,
Timor-Leste,1963,
Timor-Leste,1964,
Timor-Leste,1965,
Timor-Leste,1966,
Timor-Leste,1967,
Timor-Leste,1968,
Timor-Leste,1969,
Timor-Leste,1970,
Timor-Leste,1971,
Timor-Leste,1972,
Timor-Leste,1973,
Timor-Leste,1974,
Timor-Leste,1975,
Timor-Leste,1976,
Timor-Leste,1977,
Timor-Leste,1978,
Timor-Leste,1979,
Timor-Leste,1980,
Timor-Leste,1981,
Timor-Leste,1982,
Timor-Leste,1983,
Timor-Leste,1984,
Timor-Leste,1985,
Timor-Leste,1986,
Timor-Leste,1987,
Timor-Leste,1988,
Timor-Leste,1989,
Timor-Leste,1990,
Timor-Leste,1991,
Timor-Leste,1992,
Timor-Leste,1993,
Timor-Leste,1994,
Timor-Leste,1995,
Timor-Leste,1996,
Timor-Leste,1997,
Timor-Leste,1998,
Timor-Leste,1999,
Timor-Leste,2000,
Timor-Leste,2001,
Timor-Leste,2002,
Timor-Leste,2003,
Timor-Leste,2004,
Timor-Leste,2005,
Timor-Leste,2006,
Timor-Leste,2007,
Timor-Leste,2008,
Timor-Leste,2009,
Timor-Leste,2010,18
Timor-Leste,2011,14
Timor-Leste,2012,
Timor-Leste,2013,
Timor-Leste,2014,
Timor-Leste,2015,
Timor-Leste,2016,
Timor-Leste,2017,
Timor-Leste,2018,
Timor-Leste,2019,
Timor-Leste,2020,
Timor-Leste,2021,
Timor-Leste,2022,
Timor-Leste,2023,
Timor-Leste,2024,
Timor-Leste,2025,
