country,year,tiv
Total world import,1950,8150
Total world import,1951,11477
Total world import,1952,16619
Total world import,1953,23559
Total world import,1954,20442
Total world import,1955,20486
Total world import,1956,24664
Total world import,1957,23621
Total world import,1958,25041
Total world import,1959,21209
Total world import,1960,17600
Total world import,1961,16398
Total world import,1962,17526
Total world import,1963,20273
Total world import,1964,26727
Total world import,1965,25821
Total world import,1966,25770
Total world import,1967,25573
Total world import,1968,26129
Total world import,1969,28136
Total world import,1970,25270
Total world import,1971,32851
Total world import,1972,34526
Total world import,1973,36300
Total world import,1974,36584
Total world import,1975,37148
Total world import,1976,35973
Total world import,1977,39967
Total world import,1978,42371
Total world import,1979,38356
Total world import,1980,42226
Total world import,1981,45806
Total world import,1982,46203
Total world import,1983,43912
Total world import,1984,41611
Total world import,1985,38167
Total world import,1986,39023
Total world import,1987,39395
Total world import,1988,36766
Total world import,1989,34908
Total world import,1990,30232
Total world import,1991,28161
Total world import,1992,24306
Total world import,1993,25820
Total world import,1994,22947
Total world import,1995,22942
Total world import,1996,23732
Total world import,1997,28886
Total world import,1998,27912
Total world import,1999,25383
Total world import,2000,20518
Total world import,2001,18495
Total world import,2002,17681
Total world import,2003,19146
Total world import,2004,21275
Total world import,2005,21389
Total world import,2006,24528
Total world import,2007,26511
Total world import,2008,24120
Total world import,2009,24444
Total world import,2010,25832
Total world import,2011,29928
Total world import,2012,27937
Total world import,2013,27407
Total world import,2014,27127
Total world import,2015,28722
Total world import,2016,31481
Total world import,2017,31279
Total world import,2018,27368
Total world import,2019,27036
Total world import,2020,24055
Total world import,2021,27084
Total world import,2022,33297
Total world import,2023,29527
Total world import,2024,30721
Total world import,2025,33535
