country,year,tiv
Tunisia,1950,
Tunisia,1951,
Tunisia,1952,
Tunisia,1953,
Tunisia,1954,
Tunisia,1955,
Tunisia,1956,
Tunisia,1957,11
Tunisia,1958,
Tunisia,1959,13
Tunisia,1960,44
Tunisia,1961,6
Tunisia,1962,
Tunisia,1963,7
Tunisia,1964,4
Tunisia,1965,40
Tunisia,1966,
Tunisia,1967,5
Tunisia,1968,17
Tunisia,1969,23
Tunisia,1970,49
Tunisia,1971,0
Tunisia,1972,4
Tunisia,1973,26
Tunisia,1974,14
Tunisia,1975,14
Tunisia,1976,10
Tunisia,1977,73
Tunisia,1978,14
Tunisia,1979,122
Tunisia,1980,103
Tunisia,1981,56
Tunisia,1982,60
Tunisia,1983,103
Tunisia,1984,119
Tunisia,1985,314
Tunisia,1986,
Tunisia,1987,56
Tunisia,1988,17
Tunisia,1989,48
Tunisia,1990,4
Tunisia,1991,20
Tunisia,1992,32
Tunisia,1993,
Tunisia,1994,35
Tunisia,1995,56
Tunisia,1996,68
Tunisia,1997,41
Tunisia,1998,18
Tunisia,1999,12
Tunisia,2000,
Tunisia,2001,
Tunisia,2002,44
Tunisia,2003,1
Tunisia,2004,
Tunisia,2005,168
Tunisia,2006,2
Tunisia,2007,
Tunisia,2008,3
Tunisia,2009,
Tunisia,2010,7
Tunisia,2011,7
Tunisia,2012,
Tunisia,2013,40
Tunisia,2014,50
Tunisia,2015,7
Tunisia,2016,43
Tunisia,2017,98
Tunisia,2018,181
Tunisia,2019,15
Tunisia,2020,16
Tunisia,2021,19
Tunisia,2022,35
Tunisia,2023,35
Tunisia,2024,78
Tunisia,2025,7
