country,year,tiv
Turkiye,1950,100
Turkiye,1951,119
Turkiye,1952,337
Turkiye,1953,171
Turkiye,1954,172
Turkiye,1955,445
Turkiye,1956,307
Turkiye,1957,616
Turkiye,1958,532
Turkiye,1959,904
Turkiye,1960,581
Turkiye,1961,322
Turkiye,1962,266
Turkiye,1963,586
Turkiye,1964,839
Turkiye,1965,603
Turkiye,1966,525
Turkiye,1967,593
Turkiye,1968,418
Turkiye,1969,628
Turkiye,1970,396
Turkiye,1971,941
Turkiye,1972,1094
Turkiye,1973,790
Turkiye,1974,1279
Turkiye,1975,640
Turkiye,1976,358
Turkiye,1977,293
Turkiye,1978,984
Turkiye,1979,917
Turkiye,1980,486
Turkiye,1981,726
Turkiye,1982,478
Turkiye,1983,503
Turkiye,1984,549
Turkiye,1985,678
Turkiye,1986,472
Turkiye,1987,1429
Turkiye,1988,1628
Turkiye,1989,1026
Turkiye,1990,1241
Turkiye,1991,1285
Turkiye,1992,1872
Turkiye,1993,2326
Turkiye,1994,1888
Turkiye,1995,1564
Turkiye,1996,1488
Turkiye,1997,1509
Turkiye,1998,2623
Turkiye,1999,1734
Turkiye,2000,1181
Turkiye,2001,501
Turkiye,2002,878
Turkiye,2003,327
Turkiye,2004,252
Turkiye,2005,1076
Turkiye,2006,524
Turkiye,2007,675
Turkiye,2008,623
Turkiye,2009,714
Turkiye,2010,469
Turkiye,2011,794
Turkiye,2012,1482
Turkiye,2013,769
Turkiye,2014,1529
Turkiye,2015,446
Turkiye,2016,324
Turkiye,2017,427
Turkiye,2018,476
Turkiye,2019,742
Turkiye,2020,110
Turkiye,2021,249
Turkiye,2022,187
Turkiye,2023,679
Turkiye,2024,381
Turkiye,2025,381
