country,year,tiv
Turkmenistan,1950,
Turkmenistan,1951,
Turkmenistan,1952,
Turkmenistan,1953,
Turkmenistan,1954,
Turkmenistan,1955,
Turkmenistan,1956,
Turkmenistan,1957,
Turkmenistan,1958,
Turkmenistan,1959,
Turkmenistan,1960,
Turkmenistan,1961,
Turkmenistan,1962,
Turkmenistan,1963,
Turkmenistan,1964,
Turkmenistan,1965,
Turkmenistan,1966,
Turkmenistan,1967,
Turkmenistan,1968,
Turkmenistan,1969,
Turkmenistan,1970,
Turkmenistan,1971,
Turkmenistan,1972,
Turkmenistan,1973,
Turkmenistan,1974,
Turkmenistan,1975,
Turkmenistan,1976,
Turkmenistan,1977,
Turkmenistan,1978,
Turkmenistan,1979,
Turkmenistan,1980,
Turkmenistan,1981,
Turkmenistan,1982,
Turkmenistan,1983,
Turkmenistan,1984,
Turkmenistan,1985,
Turkmenistan,1986,
Turkmenistan,1987,
Turkmenistan,1988,
Turkmenistan,1989,
Turkmenistan,1990,
Turkmenistan,1991,
Turkmenistan,1992,
Turkmenistan,1993,
Turkmenistan,1994,
Turkmenistan,1995,
Turkmenistan,1996,
Turkmenistan,1997,
Turkmenistan,1998,
Turkmenistan,1999,
Turkmenistan,2000,
Turkmenistan,2001,
Turkmenistan,2002,
Turkmenistan,2003,18
Turkmenistan,2004,21
Turkmenistan,2005,
Turkmenistan,2006,
Turkmenistan,2007,
Turkmenistan,2008,7
Turkmenistan,2009,38
Turkmenistan,2010,32
Turkmenistan,2011,237
Turkmenistan,2012,112
Turkmenistan,2013,69
Turkmenistan,2014,72
Turkmenistan,2015,169
Turkmenistan,2016,433
Turkmenistan,2017,108
Turkmenistan,2018,
Turkmenistan,2019,
Turkmenistan,2020,
Turkmenistan,2021,382
Turkmenistan,2022,
Turkmenistan,2023,
Turkmenistan,2024,
Turkmenistan,2025,
