country,year,tiv
UNITA (Angola)*,1950,
UNITA (Angola)*,1951,
UNITA (Angola)*,1952,
UNITA (Angola)*,1953,
UNITA (Angola)*,1954,
UNITA (Angola)*,1955,
UNITA (Angola)*,1956,
UNITA (Angola)*,1957,
UNITA (Angola)*,1958,
UNITA (Angola)*,1959,
UNITA (Angola)*,1960,
UNITA (Angola)*,1961,
UNITA (Angola)*,1962,
UNITA (Angola)*,1963,
UNITA (Angola)*,1964,
UNITA (Angola)*,1965,
UNITA (Angola)*,1966,
UNITA (Angola)*,1967,
UNITA (Angola)*,1968,
UNITA (Angola)*,1969,
UNITA (Angola)*,1970,
UNITA (Angola)*,1971,
UNITA (Angola)*,1972,
UNITA (Angola)*,1973,
UNITA (Angola)*,1974,
UNITA (Angola)*,1975,
UNITA (Angola)*,1976,
UNITA (Angola)*,1977,
UNITA (Angola)*,1978,
UNITA (Angola)*,1979,
UNITA (Angola)*,1980,
UNITA (Angola)*,1981,
UNITA (Angola)*,1982,
UNITA (Angola)*,1983,
UNITA (Angola)*,1984,
UNITA (Angola)*,1985,
UNITA (Angola)*,1986,13
UNITA (Angola)*,1987,14
UNITA (Angola)*,1988,
UNITA (Angola)*,1989,1
UNITA (Angola)*,1990,
UNITA (Angola)*,1991,
UNITA (Angola)*,1992,
UNITA (Angola)*,1993,
UNITA (Angola)*,1994,
UNITA (Angola)*,1995,
UNITA (Angola)*,1996,
UNITA (Angola)*,1997,
UNITA (Angola)*,1998,
UNITA (Angola)*,1999,
UNITA (Angola)*,2000,
UNITA (Angola)*,2001,
UNITA (Angola)*,2002,
UNITA (Angola)*,2003,
UNITA (Angola)*,2004,
UNITA (Angola)*,2005,
UNITA (Angola)*,2006,
UNITA (Angola)*,2007,
UNITA (Angola)*,2008,
UNITA (Angola)*,2009,
UNITA (Angola)*,2010,
UNITA (Angola)*,2011,
UNITA (Angola)*,2012,
UNITA (Angola)*,2013,
UNITA (Angola)*,2014,
UNITA (Angola)*,2015,
UNITA (Angola)*,2016,
UNITA (Angola)*,2017,
UNITA (Angola)*,2018,
UNITA (Angola)*,2019,
UNITA (Angola)*,2020,
UNITA (Angola)*,2021,
UNITA (Angola)*,2022,
UNITA (Angola)*,2023,
UNITA (Angola)*,2024,
UNITA (Angola)*,2025,
