country,year,tiv
Uganda,1950,
Uganda,1951,
Uganda,1952,
Uganda,1953,
Uganda,1954,
Uganda,1955,
Uganda,1956,
Uganda,1957,
Uganda,1958,
Uganda,1959,
Uganda,1960,
Uganda,1961,
Uganda,1962,
Uganda,1963,
Uganda,1964,3
Uganda,1965,1
Uganda,1966,16
Uganda,1967,4
Uganda,1968,27
Uganda,1969,16
Uganda,1970,3
Uganda,1971,3
Uganda,1972,20
Uganda,1973,17
Uganda,1974,46
Uganda,1975,123
Uganda,1976,34
Uganda,1977,7
Uganda,1978,
Uganda,1979,
Uganda,1980,
Uganda,1981,
Uganda,1982,14
Uganda,1983,
Uganda,1984,
Uganda,1985,10
Uganda,1986,
Uganda,1987,32
Uganda,1988,1
Uganda,1989,20
Uganda,1990,
Uganda,1991,
Uganda,1992,
Uganda,1993,
Uganda,1994,
Uganda,1995,32
Uganda,1996,
Uganda,1997,
Uganda,1998,55
Uganda,1999,39
Uganda,2000,6
Uganda,2001,
Uganda,2002,33
Uganda,2003,
Uganda,2004,36
Uganda,2005,10
Uganda,2006,5
Uganda,2007,0
Uganda,2008,14
Uganda,2009,28
Uganda,2010,37
Uganda,2011,468
Uganda,2012,213
Uganda,2013,20
Uganda,2014,2
Uganda,2015,7
Uganda,2016,1
Uganda,2017,22
Uganda,2018,10
Uganda,2019,23
Uganda,2020,79
Uganda,2021,8
Uganda,2022,66
Uganda,2023,16
Uganda,2024,
Uganda,2025,2
