country,year,tiv
Ukraine,1950,
Ukraine,1951,
Ukraine,1952,
Ukraine,1953,
Ukraine,1954,
Ukraine,1955,
Ukraine,1956,
Ukraine,1957,
Ukraine,1958,
Ukraine,1959,
Ukraine,1960,
Ukraine,1961,
Ukraine,1962,
Ukraine,1963,
Ukraine,1964,
Ukraine,1965,
Ukraine,1966,
Ukraine,1967,
Ukraine,1968,
Ukraine,1969,
Ukraine,1970,
Ukraine,1971,
Ukraine,1972,
Ukraine,1973,
Ukraine,1974,
Ukraine,1975,
Ukraine,1976,
Ukraine,1977,
Ukraine,1978,
Ukraine,1979,
Ukraine,1980,
Ukraine,1981,
Ukraine,1982,
Ukraine,1983,
Ukraine,1984,
Ukraine,1985,
Ukraine,1986,
Ukraine,1987,
Ukraine,1988,
Ukraine,1989,
Ukraine,1990,
Ukraine,1991,
Ukraine,1992,
Ukraine,1993,
Ukraine,1994,
Ukraine,1995,
Ukraine,1996,
Ukraine,1997,
Ukraine,1998,
Ukraine,1999,
Ukraine,2000,
Ukraine,2001,
Ukraine,2002,
Ukraine,2003,
Ukraine,2004,
Ukraine,2005,
Ukraine,2006,
Ukraine,2007,
Ukraine,2008,
Ukraine,2009,
Ukraine,2010,
Ukraine,2011,
Ukraine,2012,
Ukraine,2013,
Ukraine,2014,1
Ukraine,2015,22
Ukraine,2016,5
Ukraine,2017,4
Ukraine,2018,67
Ukraine,2019,31
Ukraine,2020,18
Ukraine,2021,44
Ukraine,2022,2967
Ukraine,2023,4294
Ukraine,2024,5341
Ukraine,2025,2264
