country,year,tiv
Ukraine Rebels*,1950,
Ukraine Rebels*,1951,
Ukraine Rebels*,1952,
Ukraine Rebels*,1953,
Ukraine Rebels*,1954,
Ukraine Rebels*,1955,
Ukraine Rebels*,1956,
Ukraine Rebels*,1957,
Ukraine Rebels*,1958,
Ukraine Rebels*,1959,
Ukraine Rebels*,1960,
Ukraine Rebels*,1961,
Ukraine Rebels*,1962,
Ukraine Rebels*,1963,
Ukraine Rebels*,1964,
Ukraine Rebels*,1965,
Ukraine Rebels*,1966,
Ukraine Rebels*,1967,
Ukraine Rebels*,1968,
Ukraine Rebels*,1969,
Ukraine Rebels*,1970,
Ukraine Rebels*,1971,
Ukraine Rebels*,1972,
Ukraine Rebels*,1973,
Ukraine Rebels*,1974,
Ukraine Rebels*,1975,
Ukraine Rebels*,1976,
Ukraine Rebels*,1977,
Ukraine Rebels*,1978,
Ukraine Rebels*,1979,
Ukraine Rebels*,1980,
Ukraine Rebels*,1981,
Ukraine Rebels*,1982,
Ukraine Rebels*,1983,
Ukraine Rebels*,1984,
Ukraine Rebels*,1985,
Ukraine Rebels*,1986,
Ukraine Rebels*,1987,
Ukraine Rebels*,1988,
Ukraine Rebels*,1989,
Ukraine Rebels*,1990,
Ukraine Rebels*,1991,
Ukraine Rebels*,1992,
Ukraine Rebels*,1993,
Ukraine Rebels*,1994,
Ukraine Rebels*,1995,
Ukraine Rebels*,1996,
Ukraine Rebels*,1997,
Ukraine Rebels*,1998,
Ukraine Rebels*,1999,
Ukraine Rebels*,2000,
Ukraine Rebels*,2001,
Ukraine Rebels*,2002,
Ukraine Rebels*,2003,
Ukraine Rebels*,2004,
Ukraine Rebels*,2005,
Ukraine Rebels*,2006,
Ukraine Rebels*,2007,
Ukraine Rebels*,2008,
Ukraine Rebels*,2009,
Ukraine Rebels*,2010,
Ukraine Rebels*,2011,
Ukraine Rebels*,2012,
Ukraine Rebels*,2013,
Ukraine Rebels*,2014,24
Ukraine Rebels*,2015,
Ukraine Rebels*,2016,
Ukraine Rebels*,2017,
Ukraine Rebels*,2018,
Ukraine Rebels*,2019,
Ukraine Rebels*,2020,
Ukraine Rebels*,2021,
Ukraine Rebels*,2022,
Ukraine Rebels*,2023,
Ukraine Rebels*,2024,
Ukraine Rebels*,2025,
