country,year,tiv
United Arab Emirates,1950,
United Arab Emirates,1951,
United Arab Emirates,1952,
United Arab Emirates,1953,
United Arab Emirates,1954,
United Arab Emirates,1955,
United Arab Emirates,1956,
United Arab Emirates,1957,
United Arab Emirates,1958,
United Arab Emirates,1959,
United Arab Emirates,1960,
United Arab Emirates,1961,
United Arab Emirates,1962,
United Arab Emirates,1963,
United Arab Emirates,1964,
United Arab Emirates,1965,
United Arab Emirates,1966,
United Arab Emirates,1967,
United Arab Emirates,1968,13
United Arab Emirates,1969,12
United Arab Emirates,1970,67
United Arab Emirates,1971,24
United Arab Emirates,1972,28
United Arab Emirates,1973,88
United Arab Emirates,1974,100
United Arab Emirates,1975,145
United Arab Emirates,1976,275
United Arab Emirates,1977,310
United Arab Emirates,1978,230
United Arab Emirates,1979,39
United Arab Emirates,1980,213
United Arab Emirates,1981,420
United Arab Emirates,1982,155
United Arab Emirates,1983,163
United Arab Emirates,1984,310
United Arab Emirates,1985,145
United Arab Emirates,1986,132
United Arab Emirates,1987,195
United Arab Emirates,1988,45
United Arab Emirates,1989,663
United Arab Emirates,1990,561
United Arab Emirates,1991,237
United Arab Emirates,1992,205
United Arab Emirates,1993,582
United Arab Emirates,1994,571
United Arab Emirates,1995,426
United Arab Emirates,1996,481
United Arab Emirates,1997,690
United Arab Emirates,1998,757
United Arab Emirates,1999,441
United Arab Emirates,2000,244
United Arab Emirates,2001,186
United Arab Emirates,2002,223
United Arab Emirates,2003,676
United Arab Emirates,2004,1145
United Arab Emirates,2005,2072
United Arab Emirates,2006,1925
United Arab Emirates,2007,819
United Arab Emirates,2008,730
United Arab Emirates,2009,604
United Arab Emirates,2010,650
United Arab Emirates,2011,1217
United Arab Emirates,2012,1139
United Arab Emirates,2013,2324
United Arab Emirates,2014,736
United Arab Emirates,2015,1691
United Arab Emirates,2016,1491
United Arab Emirates,2017,909
United Arab Emirates,2018,1165
United Arab Emirates,2019,750
United Arab Emirates,2020,660
United Arab Emirates,2021,577
United Arab Emirates,2022,756
United Arab Emirates,2023,918
United Arab Emirates,2024,1086
United Arab Emirates,2025,868
