country,year,tiv
United Kingdom,1950,101
United Kingdom,1951,246
United Kingdom,1952,535
United Kingdom,1953,1610
United Kingdom,1954,537
United Kingdom,1955,322
United Kingdom,1956,141
United Kingdom,1957,93
United Kingdom,1958,554
United Kingdom,1959,543
United Kingdom,1960,26
United Kingdom,1961,34
United Kingdom,1962,38
United Kingdom,1963,159
United Kingdom,1964,133
United Kingdom,1965,166
United Kingdom,1966,242
United Kingdom,1967,1444
United Kingdom,1968,2348
United Kingdom,1969,2701
United Kingdom,1970,70
United Kingdom,1971,176
United Kingdom,1972,222
United Kingdom,1973,239
United Kingdom,1974,319
United Kingdom,1975,337
United Kingdom,1976,251
United Kingdom,1977,262
United Kingdom,1978,191
United Kingdom,1979,232
United Kingdom,1980,557
United Kingdom,1981,812
United Kingdom,1982,766
United Kingdom,1983,292
United Kingdom,1984,682
United Kingdom,1985,355
United Kingdom,1986,273
United Kingdom,1987,207
United Kingdom,1988,285
United Kingdom,1989,209
United Kingdom,1990,130
United Kingdom,1991,953
United Kingdom,1992,1147
United Kingdom,1993,796
United Kingdom,1994,421
United Kingdom,1995,496
United Kingdom,1996,568
United Kingdom,1997,513
United Kingdom,1998,770
United Kingdom,1999,132
United Kingdom,2000,937
United Kingdom,2001,1287
United Kingdom,2002,721
United Kingdom,2003,770
United Kingdom,2004,212
United Kingdom,2005,31
United Kingdom,2006,375
United Kingdom,2007,817
United Kingdom,2008,575
United Kingdom,2009,381
United Kingdom,2010,461
United Kingdom,2011,347
United Kingdom,2012,566
United Kingdom,2013,509
United Kingdom,2014,217
United Kingdom,2015,424
United Kingdom,2016,288
United Kingdom,2017,1002
United Kingdom,2018,463
United Kingdom,2019,402
United Kingdom,2020,635
United Kingdom,2021,886
United Kingdom,2022,859
United Kingdom,2023,469
United Kingdom,2024,486
United Kingdom,2025,609
