country,year,tiv
United States,1950,313
United States,1951,595
United States,1952,775
United States,1953,1215
United States,1954,1796
United States,1955,1792
United States,1956,1971
United States,1957,1211
United States,1958,591
United States,1959,546
United States,1960,181
United States,1961,198
United States,1962,236
United States,1963,283
United States,1964,358
United States,1965,170
United States,1966,89
United States,1967,88
United States,1968,62
United States,1969,50
United States,1970,38
United States,1971,578
United States,1972,769
United States,1973,656
United States,1974,586
United States,1975,388
United States,1976,499
United States,1977,384
United States,1978,369
United States,1979,253
United States,1980,380
United States,1981,531
United States,1982,248
United States,1983,463
United States,1984,381
United States,1985,655
United States,1986,424
United States,1987,1998
United States,1988,1788
United States,1989,1783
United States,1990,363
United States,1991,515
United States,1992,540
United States,1993,968
United States,1994,951
United States,1995,809
United States,1996,601
United States,1997,610
United States,1998,262
United States,1999,220
United States,2000,333
United States,2001,508
United States,2002,515
United States,2003,630
United States,2004,596
United States,2005,582
United States,2006,706
United States,2007,842
United States,2008,936
United States,2009,939
United States,2010,969
United States,2011,937
United States,2012,1138
United States,2013,767
United States,2014,568
United States,2015,482
United States,2016,447
United States,2017,504
United States,2018,379
United States,2019,882
United States,2020,806
United States,2021,922
United States,2022,846
United States,2023,891
United States,2024,1053
United States,2025,745
