country,year,tiv
United Wa State (Myanmar)*,1950,
United Wa State (Myanmar)*,1951,
United Wa State (Myanmar)*,1952,
United Wa State (Myanmar)*,1953,
United Wa State (Myanmar)*,1954,
United Wa State (Myanmar)*,1955,
United Wa State (Myanmar)*,1956,
United Wa State (Myanmar)*,1957,
United Wa State (Myanmar)*,1958,
United Wa State (Myanmar)*,1959,
United Wa State (Myanmar)*,1960,
United Wa State (Myanmar)*,1961,
United Wa State (Myanmar)*,1962,
United Wa State (Myanmar)*,1963,
United Wa State (Myanmar)*,1964,
United Wa State (Myanmar)*,1965,
United Wa State (Myanmar)*,1966,
United Wa State (Myanmar)*,1967,
United Wa State (Myanmar)*,1968,
United Wa State (Myanmar)*,1969,
United Wa State (Myanmar)*,1970,
United Wa State (Myanmar)*,1971,
United Wa State (Myanmar)*,1972,
United Wa State (Myanmar)*,1973,
United Wa State (Myanmar)*,1974,
United Wa State (Myanmar)*,1975,
United Wa State (Myanmar)*,1976,
United Wa State (Myanmar)*,1977,
United Wa State (Myanmar)*,1978,
United Wa State (Myanmar)*,1979,
United Wa State (Myanmar)*,1980,
United Wa State (Myanmar)*,1981,
United Wa State (Myanmar)*,1982,
United Wa State (Myanmar)*,1983,
United Wa State (Myanmar)*,1984,
United Wa State (Myanmar)*,1985,
United Wa State (Myanmar)*,1986,
United Wa State (Myanmar)*,1987,
United Wa State (Myanmar)*,1988,
United Wa State (Myanmar)*,1989,
United Wa State (Myanmar)*,1990,
United Wa State (Myanmar)*,1991,
United Wa State (Myanmar)*,1992,
United Wa State (Myanmar)*,1993,
United Wa State (Myanmar)*,1994,
United Wa State (Myanmar)*,1995,
United Wa State (Myanmar)*,1996,
United Wa State (Myanmar)*,1997,
United Wa State (Myanmar)*,1998,
United Wa State (Myanmar)*,1999,
United Wa State (Myanmar)*,2000,
United Wa State (Myanmar)*,2001,1
United Wa State (Myanmar)*,2002,
United Wa State (Myanmar)*,2003,
United Wa State (Myanmar)*,2004,
United Wa State (Myanmar)*,2005,
United Wa State (Myanmar)*,2006,
United Wa State (Myanmar)*,2007,
United Wa State (Myanmar)*,2008,
United Wa State (Myanmar)*,2009,
United Wa State (Myanmar)*,2010,
United Wa State (Myanmar)*,2011,
United Wa State (Myanmar)*,2012,
United Wa State (Myanmar)*,2013,
United Wa State (Myanmar)*,2014,2
United Wa State (Myanmar)*,2015,
United Wa State (Myanmar)*,2016,
United Wa State (Myanmar)*,2017,
United Wa State (Myanmar)*,2018,
United Wa State (Myanmar)*,2019,
United Wa State (Myanmar)*,2020,
United Wa State (Myanmar)*,2021,
United Wa State (Myanmar)*,2022,
United Wa State (Myanmar)*,2023,
United Wa State (Myanmar)*,2024,
United Wa State (Myanmar)*,2025,
