country,year,tiv
Venezuela,1950,59
Venezuela,1951,
Venezuela,1952,25
Venezuela,1953,195
Venezuela,1954,135
Venezuela,1955,64
Venezuela,1956,400
Venezuela,1957,275
Venezuela,1958,120
Venezuela,1959,9
Venezuela,1960,64
Venezuela,1961,32
Venezuela,1962,32
Venezuela,1963,34
Venezuela,1964,6
Venezuela,1965,
Venezuela,1966,69
Venezuela,1967,205
Venezuela,1968,20
Venezuela,1969,8
Venezuela,1970,15
Venezuela,1971,130
Venezuela,1972,165
Venezuela,1973,395
Venezuela,1974,252
Venezuela,1975,230
Venezuela,1976,170
Venezuela,1977,216
Venezuela,1978,59
Venezuela,1979,14
Venezuela,1980,361
Venezuela,1981,908
Venezuela,1982,698
Venezuela,1983,241
Venezuela,1984,234
Venezuela,1985,517
Venezuela,1986,92
Venezuela,1987,73
Venezuela,1988,105
Venezuela,1989,120
Venezuela,1990,189
Venezuela,1991,318
Venezuela,1992,72
Venezuela,1993,37
Venezuela,1994,1
Venezuela,1995,5
Venezuela,1996,37
Venezuela,1997,39
Venezuela,1998,8
Venezuela,1999,85
Venezuela,2000,108
Venezuela,2001,106
Venezuela,2002,44
Venezuela,2003,15
Venezuela,2004,9
Venezuela,2005,21
Venezuela,2006,380
Venezuela,2007,770
Venezuela,2008,741
Venezuela,2009,366
Venezuela,2010,211
Venezuela,2011,600
Venezuela,2012,692
Venezuela,2013,1006
Venezuela,2014,186
Venezuela,2015,138
Venezuela,2016,95
Venezuela,2017,
Venezuela,2018,14
Venezuela,2019,
Venezuela,2020,79
Venezuela,2021,
Venezuela,2022,
Venezuela,2023,98
Venezuela,2024,
Venezuela,2025,
