country,year,tiv
Viet Minh (France)*,1950,
Viet Minh (France)*,1951,
Viet Minh (France)*,1952,
Viet Minh (France)*,1953,
Viet Minh (France)*,1954,3
Viet Minh (France)*,1955,
Viet Minh (France)*,1956,
Viet Minh (France)*,1957,
Viet Minh (France)*,1958,
Viet Minh (France)*,1959,
Viet Minh (France)*,1960,
Viet Minh (France)*,1961,
Viet Minh (France)*,1962,
Viet Minh (France)*,1963,
Viet Minh (France)*,1964,
Viet Minh (France)*,1965,
Viet Minh (France)*,1966,
Viet Minh (France)*,1967,
Viet Minh (France)*,1968,
Viet Minh (France)*,1969,
Viet Minh (France)*,1970,
Viet Minh (France)*,1971,
Viet Minh (France)*,1972,
Viet Minh (France)*,1973,
Viet Minh (France)*,1974,
Viet Minh (France)*,1975,
Viet Minh (France)*,1976,
Viet Minh (France)*,1977,
Viet Minh (France)*,1978,
Viet Minh (France)*,1979,
Viet Minh (France)*,1980,
Viet Minh (France)*,1981,
Viet Minh (France)*,1982,
Viet Minh (France)*,1983,
Viet Minh (France)*,1984,
Viet Minh (France)*,1985,
Viet Minh (France)*,1986,
Viet Minh (France)*,1987,
Viet Minh (France)*,1988,
Viet Minh (France)*,1989,
Viet Minh (France)*,1990,
Viet Minh (France)*,1991,
Viet Minh (France)*,1992,
Viet Minh (France)*,1993,
Viet Minh (France)*,1994,
Viet Minh (France)*,1995,
Viet Minh (France)*,1996,
Viet Minh (France)*,1997,
Viet Minh (France)*,1998,
Viet Minh (France)*,1999,
Viet Minh (France)*,2000,
Viet Minh (France)*,2001,
Viet Minh (France)*,2002,
Viet Minh (France)*,2003,
Viet Minh (France)*,2004,
Viet Minh (France)*,2005,
Viet Minh (France)*,2006,
Viet Minh (France)*,2007,
Viet Minh (France)*,2008,
Viet Minh (France)*,2009,
Viet Minh (France)*,2010,
Viet Minh (France)*,2011,
Viet Minh (France)*,2012,
Viet Minh (France)*,2013,
Viet Minh (France)*,2014,
Viet Minh (France)*,2015,
Viet Minh (France)*,2016,
Viet Minh (France)*,2017,
Viet Minh (France)*,2018,
Viet Minh (France)*,2019,
Viet Minh (France)*,2020,
Viet Minh (France)*,2021,
Viet Minh (France)*,2022,
Viet Minh (France)*,2023,
Viet Minh (France)*,2024,
Viet Minh (France)*,2025,
