country,year,tiv
Viet Nam,1950,
Viet Nam,1951,
Viet Nam,1952,
Viet Nam,1953,
Viet Nam,1954,10
Viet Nam,1955,19
Viet Nam,1956,9
Viet Nam,1957,60
Viet Nam,1958,26
Viet Nam,1959,59
Viet Nam,1960,103
Viet Nam,1961,95
Viet Nam,1962,47
Viet Nam,1963,107
Viet Nam,1964,266
Viet Nam,1965,651
Viet Nam,1966,1138
Viet Nam,1967,1103
Viet Nam,1968,1179
Viet Nam,1969,909
Viet Nam,1970,1214
Viet Nam,1971,1197
Viet Nam,1972,1317
Viet Nam,1973,1283
Viet Nam,1974,859
Viet Nam,1975,493
Viet Nam,1976,42
Viet Nam,1977,42
Viet Nam,1978,227
Viet Nam,1979,1249
Viet Nam,1980,1017
Viet Nam,1981,1073
Viet Nam,1982,532
Viet Nam,1983,916
Viet Nam,1984,557
Viet Nam,1985,28
Viet Nam,1986,78
Viet Nam,1987,50
Viet Nam,1988,65
Viet Nam,1989,128
Viet Nam,1990,116
Viet Nam,1991,
Viet Nam,1992,
Viet Nam,1993,
Viet Nam,1994,
Viet Nam,1995,273
Viet Nam,1996,214
Viet Nam,1997,111
Viet Nam,1998,209
Viet Nam,1999,168
Viet Nam,2000,11
Viet Nam,2001,97
Viet Nam,2002,58
Viet Nam,2003,22
Viet Nam,2004,299
Viet Nam,2005,221
Viet Nam,2006,42
Viet Nam,2007,8
Viet Nam,2008,186
Viet Nam,2009,61
Viet Nam,2010,161
Viet Nam,2011,1016
Viet Nam,2012,782
Viet Nam,2013,360
Viet Nam,2014,1225
Viet Nam,2015,869
Viet Nam,2016,924
Viet Nam,2017,783
Viet Nam,2018,604
Viet Nam,2019,166
Viet Nam,2020,38
Viet Nam,2021,235
Viet Nam,2022,86
Viet Nam,2023,45
Viet Nam,2024,58
Viet Nam,2025,177
