country,year,tiv
Yemen,1950,
Yemen,1951,
Yemen,1952,
Yemen,1953,
Yemen,1954,
Yemen,1955,
Yemen,1956,
Yemen,1957,
Yemen,1958,
Yemen,1959,
Yemen,1960,
Yemen,1961,
Yemen,1962,
Yemen,1963,
Yemen,1964,
Yemen,1965,
Yemen,1966,
Yemen,1967,
Yemen,1968,
Yemen,1969,
Yemen,1970,
Yemen,1971,
Yemen,1972,
Yemen,1973,
Yemen,1974,
Yemen,1975,
Yemen,1976,
Yemen,1977,
Yemen,1978,
Yemen,1979,
Yemen,1980,
Yemen,1981,
Yemen,1982,
Yemen,1983,
Yemen,1984,
Yemen,1985,
Yemen,1986,
Yemen,1987,
Yemen,1988,
Yemen,1989,
Yemen,1990,78
Yemen,1991,113
Yemen,1992,
Yemen,1993,
Yemen,1994,4
Yemen,1995,167
Yemen,1996,
Yemen,1997,
Yemen,1998,1
Yemen,1999,52
Yemen,2000,158
Yemen,2001,70
Yemen,2002,585
Yemen,2003,58
Yemen,2004,253
Yemen,2005,316
Yemen,2006,38
Yemen,2007,66
Yemen,2008,41
Yemen,2009,5
Yemen,2010,261
Yemen,2011,47
Yemen,2012,38
Yemen,2013,23
Yemen,2014,6
Yemen,2015,33
Yemen,2016,7
Yemen,2017,6
Yemen,2018,9
Yemen,2019,
Yemen,2020,
Yemen,2021,
Yemen,2022,1
Yemen,2023,
Yemen,2024,
Yemen,2025,
