country,year,tiv
Yemen Arab Republic (North Yemen),1950,
Yemen Arab Republic (North Yemen),1951,
Yemen Arab Republic (North Yemen),1952,
Yemen Arab Republic (North Yemen),1953,
Yemen Arab Republic (North Yemen),1954,
Yemen Arab Republic (North Yemen),1955,
Yemen Arab Republic (North Yemen),1956,
Yemen Arab Republic (North Yemen),1957,
Yemen Arab Republic (North Yemen),1958,
Yemen Arab Republic (North Yemen),1959,
Yemen Arab Republic (North Yemen),1960,
Yemen Arab Republic (North Yemen),1961,
Yemen Arab Republic (North Yemen),1962,
Yemen Arab Republic (North Yemen),1963,
Yemen Arab Republic (North Yemen),1964,
Yemen Arab Republic (North Yemen),1965,
Yemen Arab Republic (North Yemen),1966,
Yemen Arab Republic (North Yemen),1967,42
Yemen Arab Republic (North Yemen),1968,27
Yemen Arab Republic (North Yemen),1969,11
Yemen Arab Republic (North Yemen),1970,
Yemen Arab Republic (North Yemen),1971,
Yemen Arab Republic (North Yemen),1972,
Yemen Arab Republic (North Yemen),1973,
Yemen Arab Republic (North Yemen),1974,
Yemen Arab Republic (North Yemen),1975,
Yemen Arab Republic (North Yemen),1976,
Yemen Arab Republic (North Yemen),1977,
Yemen Arab Republic (North Yemen),1978,
Yemen Arab Republic (North Yemen),1979,
Yemen Arab Republic (North Yemen),1980,
Yemen Arab Republic (North Yemen),1981,
Yemen Arab Republic (North Yemen),1982,
Yemen Arab Republic (North Yemen),1983,
Yemen Arab Republic (North Yemen),1984,
Yemen Arab Republic (North Yemen),1985,
Yemen Arab Republic (North Yemen),1986,
Yemen Arab Republic (North Yemen),1987,
Yemen Arab Republic (North Yemen),1988,
Yemen Arab Republic (North Yemen),1989,
Yemen Arab Republic (North Yemen),1990,
Yemen Arab Republic (North Yemen),1991,
Yemen Arab Republic (North Yemen),1992,
Yemen Arab Republic (North Yemen),1993,
Yemen Arab Republic (North Yemen),1994,
Yemen Arab Republic (North Yemen),1995,
Yemen Arab Republic (North Yemen),1996,
Yemen Arab Republic (North Yemen),1997,
Yemen Arab Republic (North Yemen),1998,
Yemen Arab Republic (North Yemen),1999,
Yemen Arab Republic (North Yemen),2000,
Yemen Arab Republic (North Yemen),2001,
Yemen Arab Republic (North Yemen),2002,
Yemen Arab Republic (North Yemen),2003,
Yemen Arab Republic (North Yemen),2004,
Yemen Arab Republic (North Yemen),2005,
Yemen Arab Republic (North Yemen),2006,
Yemen Arab Republic (North Yemen),2007,
Yemen Arab Republic (North Yemen),2008,
Yemen Arab Republic (North Yemen),2009,
Yemen Arab Republic (North Yemen),2010,
Yemen Arab Republic (North Yemen),2011,
Yemen Arab Republic (North Yemen),2012,
Yemen Arab Republic (North Yemen),2013,
Yemen Arab Republic (North Yemen),2014,
Yemen Arab Republic (North Yemen),2015,
Yemen Arab Republic (North Yemen),2016,
Yemen Arab Republic (North Yemen),2017,
Yemen Arab Republic (North Yemen),2018,
Yemen Arab Republic (North Yemen),2019,
Yemen Arab Republic (North Yemen),2020,
Yemen Arab Republic (North Yemen),2021,
Yemen Arab Republic (North Yemen),2022,
Yemen Arab Republic (North Yemen),2023,
Yemen Arab Republic (North Yemen),2024,
Yemen Arab Republic (North Yemen),2025,
