country,year,tiv
Yugoslavia,1950,
Yugoslavia,1951,185
Yugoslavia,1952,480
Yugoslavia,1953,514
Yugoslavia,1954,524
Yugoslavia,1955,334
Yugoslavia,1956,352
Yugoslavia,1957,229
Yugoslavia,1958,112
Yugoslavia,1959,279
Yugoslavia,1960,205
Yugoslavia,1961,118
Yugoslavia,1962,346
Yugoslavia,1963,374
Yugoslavia,1964,313
Yugoslavia,1965,418
Yugoslavia,1966,476
Yugoslavia,1967,565
Yugoslavia,1968,640
Yugoslavia,1969,435
Yugoslavia,1970,362
Yugoslavia,1971,349
Yugoslavia,1972,376
Yugoslavia,1973,257
Yugoslavia,1974,290
Yugoslavia,1975,746
Yugoslavia,1976,642
Yugoslavia,1977,711
Yugoslavia,1978,596
Yugoslavia,1979,935
Yugoslavia,1980,783
Yugoslavia,1981,603
Yugoslavia,1982,774
Yugoslavia,1983,836
Yugoslavia,1984,323
Yugoslavia,1985,362
Yugoslavia,1986,343
Yugoslavia,1987,361
Yugoslavia,1988,675
Yugoslavia,1989,325
Yugoslavia,1990,306
Yugoslavia,1991,139
Yugoslavia,1992,
Yugoslavia,1993,
Yugoslavia,1994,
Yugoslavia,1995,
Yugoslavia,1996,
Yugoslavia,1997,
Yugoslavia,1998,
Yugoslavia,1999,
Yugoslavia,2000,
Yugoslavia,2001,
Yugoslavia,2002,
Yugoslavia,2003,
Yugoslavia,2004,
Yugoslavia,2005,
Yugoslavia,2006,
Yugoslavia,2007,
Yugoslavia,2008,
Yugoslavia,2009,
Yugoslavia,2010,
Yugoslavia,2011,
Yugoslavia,2012,
Yugoslavia,2013,
Yugoslavia,2014,
Yugoslavia,2015,
Yugoslavia,2016,
Yugoslavia,2017,
Yugoslavia,2018,
Yugoslavia,2019,
Yugoslavia,2020,
Yugoslavia,2021,
Yugoslavia,2022,
Yugoslavia,2023,
Yugoslavia,2024,
Yugoslavia,2025,
