country,year,tiv
ZAPU (Zimbabwe)*,1950,
ZAPU (Zimbabwe)*,1951,
ZAPU (Zimbabwe)*,1952,
ZAPU (Zimbabwe)*,1953,
ZAPU (Zimbabwe)*,1954,
ZAPU (Zimbabwe)*,1955,
ZAPU (Zimbabwe)*,1956,
ZAPU (Zimbabwe)*,1957,
ZAPU (Zimbabwe)*,1958,
ZAPU (Zimbabwe)*,1959,
ZAPU (Zimbabwe)*,1960,
ZAPU (Zimbabwe)*,1961,
ZAPU (Zimbabwe)*,1962,
ZAPU (Zimbabwe)*,1963,
ZAPU (Zimbabwe)*,1964,
ZAPU (Zimbabwe)*,1965,
ZAPU (Zimbabwe)*,1966,
ZAPU (Zimbabwe)*,1967,
ZAPU (Zimbabwe)*,1968,
ZAPU (Zimbabwe)*,1969,
ZAPU (Zimbabwe)*,1970,
ZAPU (Zimbabwe)*,1971,
ZAPU (Zimbabwe)*,1972,
ZAPU (Zimbabwe)*,1973,
ZAPU (Zimbabwe)*,1974,
ZAPU (Zimbabwe)*,1975,
ZAPU (Zimbabwe)*,1976,
ZAPU (Zimbabwe)*,1977,1
ZAPU (Zimbabwe)*,1978,0
ZAPU (Zimbabwe)*,1979,0
ZAPU (Zimbabwe)*,1980,
ZAPU (Zimbabwe)*,1981,
ZAPU (Zimbabwe)*,1982,
ZAPU (Zimbabwe)*,1983,
ZAPU (Zimbabwe)*,1984,
ZAPU (Zimbabwe)*,1985,
ZAPU (Zimbabwe)*,1986,
ZAPU (Zimbabwe)*,1987,
ZAPU (Zimbabwe)*,1988,
ZAPU (Zimbabwe)*,1989,
ZAPU (Zimbabwe)*,1990,
ZAPU (Zimbabwe)*,1991,
ZAPU (Zimbabwe)*,1992,
ZAPU (Zimbabwe)*,1993,
ZAPU (Zimbabwe)*,1994,
ZAPU (Zimbabwe)*,1995,
ZAPU (Zimbabwe)*,1996,
ZAPU (Zimbabwe)*,1997,
ZAPU (Zimbabwe)*,1998,
ZAPU (Zimbabwe)*,1999,
ZAPU (Zimbabwe)*,2000,
ZAPU (Zimbabwe)*,2001,
ZAPU (Zimbabwe)*,2002,
ZAPU (Zimbabwe)*,2003,
ZAPU (Zimbabwe)*,2004,
ZAPU (Zimbabwe)*,2005,
ZAPU (Zimbabwe)*,2006,
ZAPU (Zimbabwe)*,2007,
ZAPU (Zimbabwe)*,2008,
ZAPU (Zimbabwe)*,2009,
ZAPU (Zimbabwe)*,2010,
ZAPU (Zimbabwe)*,2011,
ZAPU (Zimbabwe)*,2012,
ZAPU (Zimbabwe)*,2013,
ZAPU (Zimbabwe)*,2014,
ZAPU (Zimbabwe)*,2015,
ZAPU (Zimbabwe)*,2016,
ZAPU (Zimbabwe)*,2017,
ZAPU (Zimbabwe)*,2018,
ZAPU (Zimbabwe)*,2019,
ZAPU (Zimbabwe)*,2020,
ZAPU (Zimbabwe)*,2021,
ZAPU (Zimbabwe)*,2022,
ZAPU (Zimbabwe)*,2023,
ZAPU (Zimbabwe)*,2024,
ZAPU (Zimbabwe)*,2025,
