country,year,tiv
Zambia,1950,
Zambia,1951,
Zambia,1952,
Zambia,1953,
Zambia,1954,
Zambia,1955,
Zambia,1956,
Zambia,1957,
Zambia,1958,
Zambia,1959,
Zambia,1960,
Zambia,1961,
Zambia,1962,
Zambia,1963,
Zambia,1964,7
Zambia,1965,16
Zambia,1966,17
Zambia,1967,
Zambia,1968,
Zambia,1969,7
Zambia,1970,4
Zambia,1971,165
Zambia,1972,29
Zambia,1973,19
Zambia,1974,9
Zambia,1975,48
Zambia,1976,109
Zambia,1977,41
Zambia,1978,42
Zambia,1979,4
Zambia,1980,136
Zambia,1981,253
Zambia,1982,43
Zambia,1983,
Zambia,1984,18
Zambia,1985,
Zambia,1986,
Zambia,1987,
Zambia,1988,
Zambia,1989,
Zambia,1990,
Zambia,1991,
Zambia,1992,
Zambia,1993,
Zambia,1994,
Zambia,1995,
Zambia,1996,8
Zambia,1997,
Zambia,1998,
Zambia,1999,
Zambia,2000,43
Zambia,2001,
Zambia,2002,2
Zambia,2003,
Zambia,2004,
Zambia,2005,0
Zambia,2006,30
Zambia,2007,5
Zambia,2008,2
Zambia,2009,
Zambia,2010,
Zambia,2011,1
Zambia,2012,61
Zambia,2013,
Zambia,2014,
Zambia,2015,15
Zambia,2016,44
Zambia,2017,46
Zambia,2018,
Zambia,2019,43
Zambia,2020,3
Zambia,2021,20
Zambia,2022,2
Zambia,2023,5
Zambia,2024,1
Zambia,2025,
