country,year,tiv
Zimbabwe,1950,1
Zimbabwe,1951,11
Zimbabwe,1952,2
Zimbabwe,1953,7
Zimbabwe,1954,35
Zimbabwe,1955,27
Zimbabwe,1956,8
Zimbabwe,1957,
Zimbabwe,1958,61
Zimbabwe,1959,
Zimbabwe,1960,15
Zimbabwe,1961,
Zimbabwe,1962,16
Zimbabwe,1963,20
Zimbabwe,1964,
Zimbabwe,1965,
Zimbabwe,1966,
Zimbabwe,1967,21
Zimbabwe,1968,
Zimbabwe,1969,
Zimbabwe,1970,
Zimbabwe,1971,5
Zimbabwe,1972,21
Zimbabwe,1973,0
Zimbabwe,1974,2
Zimbabwe,1975,42
Zimbabwe,1976,20
Zimbabwe,1977,4
Zimbabwe,1978,16
Zimbabwe,1979,
Zimbabwe,1980,
Zimbabwe,1981,15
Zimbabwe,1982,81
Zimbabwe,1983,34
Zimbabwe,1984,33
Zimbabwe,1985,28
Zimbabwe,1986,212
Zimbabwe,1987,29
Zimbabwe,1988,2
Zimbabwe,1989,
Zimbabwe,1990,2
Zimbabwe,1991,47
Zimbabwe,1992,63
Zimbabwe,1993,0
Zimbabwe,1994,
Zimbabwe,1995,
Zimbabwe,1996,
Zimbabwe,1997,
Zimbabwe,1998,1
Zimbabwe,1999,25
Zimbabwe,2000,8
Zimbabwe,2001,10
Zimbabwe,2002,
Zimbabwe,2003,16
Zimbabwe,2004,14
Zimbabwe,2005,25
Zimbabwe,2006,25
Zimbabwe,2007,
Zimbabwe,2008,
Zimbabwe,2009,
Zimbabwe,2010,
Zimbabwe,2011,
Zimbabwe,2012,
Zimbabwe,2013,
Zimbabwe,2014,
Zimbabwe,2015,
Zimbabwe,2016,
Zimbabwe,2017,
Zimbabwe,2018,
Zimbabwe,2019,
Zimbabwe,2020,
Zimbabwe,2021,
Zimbabwe,2022,
Zimbabwe,2023,20
Zimbabwe,2024,
Zimbabwe,2025,
