country,year,tiv
eSwatini,1950,
eSwatini,1951,
eSwatini,1952,
eSwatini,1953,
eSwatini,1954,
eSwatini,1955,
eSwatini,1956,
eSwatini,1957,
eSwatini,1958,
eSwatini,1959,
eSwatini,1960,
eSwatini,1961,
eSwatini,1962,
eSwatini,1963,
eSwatini,1964,
eSwatini,1965,
eSwatini,1966,
eSwatini,1967,
eSwatini,1968,
eSwatini,1969,
eSwatini,1970,
eSwatini,1971,
eSwatini,1972,
eSwatini,1973,
eSwatini,1974,
eSwatini,1975,
eSwatini,1976,
eSwatini,1977,
eSwatini,1978,
eSwatini,1979,6
eSwatini,1980,
eSwatini,1981,
eSwatini,1982,
eSwatini,1983,
eSwatini,1984,
eSwatini,1985,
eSwatini,1986,
eSwatini,1987,
eSwatini,1988,
eSwatini,1989,
eSwatini,1990,
eSwatini,1991,
eSwatini,1992,
eSwatini,1993,
eSwatini,1994,
eSwatini,1995,
eSwatini,1996,
eSwatini,1997,
eSwatini,1998,
eSwatini,1999,
eSwatini,2000,1
eSwatini,2001,1
eSwatini,2002,
eSwatini,2003,
eSwatini,2004,
eSwatini,2005,
eSwatini,2006,
eSwatini,2007,
eSwatini,2008,
eSwatini,2009,
eSwatini,2010,
eSwatini,2011,
eSwatini,2012,
eSwatini,2013,
eSwatini,2014,
eSwatini,2015,
eSwatini,2016,
eSwatini,2017,
eSwatini,2018,
eSwatini,2019,
eSwatini,2020,2
eSwatini,2021,
eSwatini,2022,
eSwatini,2023,
eSwatini,2024,
eSwatini,2025,
