country,year,tiv
unknown rebel group*,1950,
unknown rebel group*,1951,
unknown rebel group*,1952,
unknown rebel group*,1953,
unknown rebel group*,1954,
unknown rebel group*,1955,
unknown rebel group*,1956,
unknown rebel group*,1957,
unknown rebel group*,1958,
unknown rebel group*,1959,
unknown rebel group*,1960,
unknown rebel group*,1961,
unknown rebel group*,1962,
unknown rebel group*,1963,
unknown rebel group*,1964,
unknown rebel group*,1965,
unknown rebel group*,1966,
unknown rebel group*,1967,
unknown rebel group*,1968,
unknown rebel group*,1969,
unknown rebel group*,1970,
unknown rebel group*,1971,
unknown rebel group*,1972,
unknown rebel group*,1973,
unknown rebel group*,1974,
unknown rebel group*,1975,
unknown rebel group*,1976,
unknown rebel group*,1977,
unknown rebel group*,1978,
unknown rebel group*,1979,
unknown rebel group*,1980,
unknown rebel group*,1981,
unknown rebel group*,1982,
unknown rebel group*,1983,
unknown rebel group*,1984,
unknown rebel group*,1985,
unknown rebel group*,1986,
unknown rebel group*,1987,
unknown rebel group*,1988,
unknown rebel group*,1989,
unknown rebel group*,1990,
unknown rebel group*,1991,
unknown rebel group*,1992,
unknown rebel group*,1993,
unknown rebel group*,1994,
unknown rebel group*,1995,
unknown rebel group*,1996,
unknown rebel group*,1997,
unknown rebel group*,1998,
unknown rebel group*,1999,
unknown rebel group*,2000,
unknown rebel group*,2001,0
unknown rebel group*,2002,0
unknown rebel group*,2003,
unknown rebel group*,2004,
unknown rebel group*,2005,
unknown rebel group*,2006,
unknown rebel group*,2007,
unknown rebel group*,2008,
unknown rebel group*,2009,
unknown rebel group*,2010,
unknown rebel group*,2011,
unknown rebel group*,2012,
unknown rebel group*,2013,
unknown rebel group*,2014,
unknown rebel group*,2015,
unknown rebel group*,2016,
unknown rebel group*,2017,
unknown rebel group*,2018,
unknown rebel group*,2019,
unknown rebel group*,2020,
unknown rebel group*,2021,
unknown rebel group*,2022,
unknown rebel group*,2023,
unknown rebel group*,2024,
unknown rebel group*,2025,
