country,year,tiv
unknown recipient(s),1950,
unknown recipient(s),1951,
unknown recipient(s),1952,
unknown recipient(s),1953,
unknown recipient(s),1954,
unknown recipient(s),1955,
unknown recipient(s),1956,
unknown recipient(s),1957,
unknown recipient(s),1958,
unknown recipient(s),1959,10
unknown recipient(s),1960,10
unknown recipient(s),1961,18
unknown recipient(s),1962,38
unknown recipient(s),1963,67
unknown recipient(s),1964,76
unknown recipient(s),1965,76
unknown recipient(s),1966,58
unknown recipient(s),1967,58
unknown recipient(s),1968,58
unknown recipient(s),1969,58
unknown recipient(s),1970,18
unknown recipient(s),1971,10
unknown recipient(s),1972,10
unknown recipient(s),1973,5
unknown recipient(s),1974,5
unknown recipient(s),1975,
unknown recipient(s),1976,
unknown recipient(s),1977,
unknown recipient(s),1978,
unknown recipient(s),1979,
unknown recipient(s),1980,30
unknown recipient(s),1981,85
unknown recipient(s),1982,86
unknown recipient(s),1983,87
unknown recipient(s),1984,87
unknown recipient(s),1985,87
unknown recipient(s),1986,87
unknown recipient(s),1987,87
unknown recipient(s),1988,87
unknown recipient(s),1989,41
unknown recipient(s),1990,
unknown recipient(s),1991,11
unknown recipient(s),1992,11
unknown recipient(s),1993,19
unknown recipient(s),1994,5
unknown recipient(s),1995,9
unknown recipient(s),1996,3
unknown recipient(s),1997,
unknown recipient(s),1998,4
unknown recipient(s),1999,
unknown recipient(s),2000,
unknown recipient(s),2001,
unknown recipient(s),2002,
unknown recipient(s),2003,0
unknown recipient(s),2004,
unknown recipient(s),2005,
unknown recipient(s),2006,
unknown recipient(s),2007,
unknown recipient(s),2008,12
unknown recipient(s),2009,
unknown recipient(s),2010,8
unknown recipient(s),2011,6
unknown recipient(s),2012,
unknown recipient(s),2013,32
unknown recipient(s),2014,33
unknown recipient(s),2015,13
unknown recipient(s),2016,32
unknown recipient(s),2017,15
unknown recipient(s),2018,21
unknown recipient(s),2019,48
unknown recipient(s),2020,36
unknown recipient(s),2021,3
unknown recipient(s),2022,6
unknown recipient(s),2023,3
unknown recipient(s),2024,
unknown recipient(s),2025,
